"testing","fold","env","individual","observed","predicted"
5,1,"14DS",96,216,213.639
6,1,"14DS",70,196,194.573
8,1,"14DS",15,192.7,191.057
12,1,"14DS",33,228.3,193.28
18,1,"14DS",57,190.7,201.599
22,1,"14DS",112,197,201.958
23,1,"14DS",77,202.3,191.382
27,1,"14DS",13,197.3,190.996
28,1,"14DS",14,197,193.017
31,1,"14DS",148,186,189.523
32,1,"14DS",158,211.7,219.548
33,1,"14DS",90,193,196.339
40,1,"14DS",68,199,213.305
45,1,"14DS",65,203.7,207.092
46,1,"14DS",60,204.7,207.061
51,1,"14DS",76,202,204.284
54,1,"14DS",172,215,204.171
59,1,"14DS",69,215,212.032
70,1,"14DS",161,214,214.893
73,1,"14DS",11,198.7,194.221
78,1,"14DS",27,209.3,201.766
81,1,"14DS",165,204,190.971
84,1,"14DS",159,198.3,208.53
88,1,"14DS",89,220,211.4
97,1,"14WW",139,208.3,204.777
98,1,"14WW",38,179.7,196.292
102,1,"14WW",125,183,185.326
103,1,"14WW",83,199,196.242
115,1,"14WW",25,200.3,199.471
118,1,"14WW",6,184,188.109
121,1,"14WW",28,193.3,197.984
124,1,"14WW",145,201,201.15
130,1,"14WW",173,196,190.289
134,1,"14WW",66,195.3,193.877
137,1,"14WW",81,203.7,210.76
139,1,"14WW",4,182.7,195.263
143,1,"14WW",42,201.7,192.198
146,1,"14WW",30,196.7,193.96
155,1,"14WW",135,177.7,191.356
169,1,"14WW",67,194,201.478
171,1,"14WW",2,181.3,184.399
174,1,"14WW",143,188,184.488
182,1,"14WW",141,192.7,196.486
184,1,"14WW",58,196,200.834
209,1,"16DS",128,169.67,180.588
215,1,"16DS",1,184.67,175.669
216,1,"16DS",154,186.33,177.665
242,1,"16DS",53,181.67,185.174
243,1,"16DS",54,189.67,198.312
246,1,"16DS",156,187.33,180.48
254,1,"16DS",3,186,169.691
271,1,"16DS",78,169.33,180.797
282,1,"16DS",97,196.67,177.907
291,1,"16WW",17,203.33,188.141
292,1,"16WW",40,210.33,187.137
293,1,"16WW",94,200,191.657
296,1,"16WW",29,220,197.835
307,1,"16WW",85,159.67,188.852
314,1,"16WW",61,208.33,205.6
316,1,"16WW",37,199,189.131
324,1,"16WW",47,202,199.244
325,1,"16WW",55,206.67,200.791
335,1,"16WW",64,201,195.796
338,1,"16WW",18,179,204.64
340,1,"16WW",95,207.33,198.504
343,1,"16WW",87,199.67,194.96
344,1,"16WW",35,189,198.126
348,1,"16WW",48,179.67,187.61
355,1,"16WW",123,147.67,78.113
356,1,"16WW",93,180.67,190.296
359,1,"16WW",107,186,193.902
367,1,"16WW",52,202.67,212.235
368,1,"16WW",131,183.33,176.412
372,1,"16WW",5,193.67,188.956
379,1,"16WW",19,190,190.84
24,2,"14DS",87,202.3,205.291
26,2,"14DS",42,200.7,203.911
34,2,"14DS",95,214.3,207.919
35,2,"14DS",67,213.7,206.412
56,2,"14DS",48,201,192.689
58,2,"14DS",3,197.3,194.102
65,2,"14DS",121,132.7,127.988
72,2,"14DS",136,201.3,196.999
77,2,"14DS",123,97.7,114.716
83,2,"14DS",141,202.3,205.119
87,2,"14DS",47,208.3,208.03
91,2,"14DS",2,198.3,189.323
95,2,"14DS",36,205.3,206.353
96,2,"14DS",78,191.3,201.127
101,2,"14WW",60,193,193.576
107,2,"14WW",37,195.7,190.668
108,2,"14WW",138,190,176.065
114,2,"14WW",16,218.3,192.539
127,2,"14WW",61,206.7,206.674
129,2,"14WW",142,195,189.067
131,2,"14WW",15,179.3,181.028
138,2,"14WW",68,204,196.218
145,2,"14WW",156,200.7,189.085
147,2,"14WW",177,193.3,188.258
156,2,"14WW",33,204,187.404
162,2,"14WW",85,189.3,179.617
166,2,"14WW",65,189,197.622
173,2,"14WW",19,182,191.177
176,2,"14WW",165,187.7,182.449
187,2,"14WW",69,207.3,200.481
189,2,"14WW",159,200,195.085
195,2,"16DS",173,173.67,180.378
204,2,"16DS",25,181,190.65
207,2,"16DS",107,186.33,180.016
210,2,"16DS",72,182.33,184.438
214,2,"16DS",148,164.67,170.06
218,2,"16DS",17,198.67,174.809
219,2,"16DS",139,193.33,194.209
225,2,"16DS",24,180.67,188.211
228,2,"16DS",26,188.33,187.068
231,2,"16DS",133,182.33,173.719
232,2,"16DS",4,180.67,179.769
241,2,"16DS",5,189,177.541
247,2,"16DS",66,186.33,178.654
248,2,"16DS",90,179.33,174.785
256,2,"16DS",114,192,195.466
258,2,"16DS",125,170.67,175.36
259,2,"16DS",103,184.67,193.701
269,2,"16DS",112,180,181.246
273,2,"16DS",40,161.67,185.846
277,2,"16DS",52,190,202.912
285,2,"16DS",93,194.33,173.346
288,2,"16DS",9,191.33,182.635
289,2,"16WW",75,177,188.203
294,2,"16WW",145,214,199.57
302,2,"16WW",106,206.67,202.885
303,2,"16WW",92,192.33,192.221
305,2,"16WW",53,186,200.573
306,2,"16WW",82,182,197.222
321,2,"16WW",154,192,190.345
326,2,"16WW",11,191.67,185.331
327,2,"16WW",89,203,204.318
328,2,"16WW",14,179,189.148
333,2,"16WW",128,183,194.319
345,2,"16WW",83,190,197.935
346,2,"16WW",27,189,195.548
347,2,"16WW",57,180,193.971
352,2,"16WW",10,161.67,178.328
353,2,"16WW",172,185,202.399
361,2,"16WW",38,189.33,195.228
362,2,"16WW",70,194,183.927
