"testing","fold","env","individual","observed","predicted"
2,1,"14DS",18,222.7,212.64
3,1,"14DS",93,203.3,194.27
5,1,"14DS",96,216,202.876
8,1,"14DS",15,192.7,193.162
14,1,"14DS",72,200,195.449
18,1,"14DS",57,190.7,211.648
22,1,"14DS",112,197,203.786
25,1,"14DS",1,199,183.695
35,1,"14DS",67,213.7,200.906
36,1,"14DS",66,201,191.84
40,1,"14DS",68,199,211.568
41,1,"14DS",30,204.7,174.911
44,1,"14DS",8,205.7,195.484
60,1,"14DS",131,181.7,188.152
65,1,"14DS",121,132.7,212.325
70,1,"14DS",161,214,199.061
74,1,"14DS",54,214.7,206.654
75,1,"14DS",94,197.3,201.941
85,1,"14DS",61,212,224.575
91,1,"14DS",2,198.3,177.322
112,1,"14WW",18,214,202.268
119,1,"14WW",94,198.3,191.569
120,1,"14WW",72,205,185.077
125,1,"14WW",131,181.7,177.78
127,1,"14WW",61,206.7,214.203
128,1,"14WW",1,188.7,173.323
131,1,"14WW",15,179.3,182.79
134,1,"14WW",66,195.3,181.468
136,1,"14WW",161,197,188.689
138,1,"14WW",68,204,201.196
141,1,"14WW",121,101.3,201.953
146,1,"14WW",30,196.7,164.539
148,1,"14WW",54,211.3,196.282
158,1,"14WW",112,192.3,193.414
159,1,"14WW",8,188,185.112
161,1,"14WW",57,200,201.276
169,1,"14WW",67,194,190.534
171,1,"14WW",2,181.3,166.95
172,1,"14WW",93,175,183.898
175,1,"14WW",96,199,192.504
199,1,"16DS",161,200.67,178.065
210,1,"16DS",72,182.33,174.453
212,1,"16DS",2,190,156.326
215,1,"16DS",1,184.67,162.699
220,1,"16DS",30,188,153.915
222,1,"16DS",68,198,190.572
224,1,"16DS",18,166,191.643
226,1,"16DS",61,188,203.579
234,1,"16DS",121,70.67,191.329
236,1,"16DS",96,191.67,181.88
237,1,"16DS",131,164.33,167.156
243,1,"16DS",54,189.67,185.658
247,1,"16DS",66,186.33,170.844
255,1,"16DS",94,183,180.945
257,1,"16DS",67,191.33,179.91
269,1,"16DS",112,180,182.79
274,1,"16DS",15,174,172.166
284,1,"16DS",8,195.67,174.488
285,1,"16DS",93,194.33,173.274
287,1,"16DS",57,183,190.651
293,1,"16WW",94,200,192.929
297,1,"16WW",121,92,203.313
299,1,"16WW",66,194.33,182.828
301,1,"16WW",2,187,168.31
310,1,"16WW",67,194.67,191.894
311,1,"16WW",1,189,174.683
313,1,"16WW",96,213,193.864
314,1,"16WW",61,208.33,215.563
322,1,"16WW",30,198.33,165.899
338,1,"16WW",18,179,203.627
347,1,"16WW",57,180,202.635
349,1,"16WW",15,181.67,184.15
356,1,"16WW",93,180.67,185.258
368,1,"16WW",131,183.33,179.14
369,1,"16WW",68,201.33,202.556
370,1,"16WW",54,210.67,197.642
373,1,"16WW",72,198.33,186.437
376,1,"16WW",112,189.33,194.774
380,1,"16WW",161,206.33,190.049
384,1,"16WW",8,187.67,186.471
1,2,"14DS",29,214.3,181.913
6,2,"14DS",70,196,189.902
