"testing","fold","env","individual","observed","predicted"
9,1,"14DS",40,202.3,202.165
10,1,"14DS",139,214.7,212.18
11,1,"14DS",142,209,197.999
15,1,"14DS",85,204,187.171
22,1,"14DS",112,197,203.572
24,1,"14DS",87,202.3,208.95
25,1,"14DS",1,199,197.381
35,1,"14DS",67,213.7,204.1
41,1,"14DS",30,204.7,201.396
44,1,"14DS",8,205.7,197.588
46,1,"14DS",60,204.7,205.646
54,1,"14DS",172,215,204.478
66,1,"14DS",4,201.7,199.834
69,1,"14DS",138,184.3,191.271
73,1,"14DS",11,198.7,191.326
78,1,"14DS",27,209.3,202.042
81,1,"14DS",165,204,188.424
84,1,"14DS",159,198.3,206.682
86,1,"14DS",173,206,200.314
91,1,"14DS",2,198.3,192.359
93,1,"14DS",81,215.3,221.43
94,1,"14DS",37,205.7,201.171
98,1,"14WW",38,179.7,193.786
100,1,"14WW",70,173.7,186.074
110,1,"14WW",114,213.7,200.466
111,1,"14WW",76,203.7,192.782
113,1,"14WW",158,220,205.962
114,1,"14WW",16,218.3,195.857
119,1,"14WW",94,198.3,190.843
124,1,"14WW",145,201,197.053
131,1,"14WW",15,179.3,180.698
135,1,"14WW",29,208.7,195.573
148,1,"14WW",54,211.3,205.356
149,1,"14WW",95,200.3,195.958
160,1,"14WW",35,199.7,195.396
163,1,"14WW",3,186.7,180.468
166,1,"14WW",65,189,199.907
179,1,"14WW",77,177,187.055
181,1,"14WW",90,172.7,190.894
184,1,"14WW",58,196,198.782
187,1,"14WW",69,207.3,200.806
188,1,"14WW",75,186,183.525
190,1,"14WW",78,192.7,189.922
202,1,"16DS",123,0,119.343
205,1,"16DS",89,195.67,192.439
210,1,"16DS",72,182.33,186.176
213,1,"16DS",64,188.67,186.283
221,1,"16DS",19,185.33,174.312
222,1,"16DS",68,198,183.424
223,1,"16DS",28,185.67,187.289
228,1,"16DS",26,188.33,185.059
231,1,"16DS",133,182.33,176.721
241,1,"16DS",5,189,175.003
247,1,"16DS",66,186.33,180.871
252,1,"16DS",48,183.67,172.821
260,1,"16DS",82,199.67,184.271
265,1,"16DS",135,179.67,173.19
268,1,"16DS",20,181,178.616
277,1,"16DS",52,190,197.387
281,1,"16DS",42,186,177.261
286,1,"16DS",6,176,174.437
291,1,"16WW",17,203.33,185.334
305,1,"16WW",53,186,199.299
314,1,"16WW",61,208.33,204.444
315,1,"16WW",25,203,198.579
317,1,"16WW",24,203,197.029
321,1,"16WW",154,192,191.876
323,1,"16WW",141,198.67,192.464
325,1,"16WW",55,206.67,199.825
328,1,"16WW",14,179,184.442
334,1,"16WW",97,204.33,188.5
350,1,"16WW",33,163.67,201.712
352,1,"16WW",10,161.67,175.059
354,1,"16WW",143,186.33,183.165
357,1,"16WW",9,200.33,190.031
363,1,"16WW",177,195,192.444
380,1,"16WW",161,206.33,204.407
382,1,"16WW",13,196,180.659
5,2,"14DS",96,216,215.034
6,2,"14DS",70,196,195.891
8,2,"14DS",15,192.7,192.487
12,2,"14DS",33,228.3,193.775
14,2,"14DS",72,200,206.826
26,2,"14DS",42,200.7,203.94
31,2,"14DS",148,186,185.272
34,2,"14DS",95,214.3,209.405
37,2,"14DS",16,220,202.978
47,2,"14DS",55,216,209.509
48,2,"14DS",133,206.7,193.354
50,2,"14DS",125,190.3,192.582
55,2,"14DS",156,200.3,201.67
56,2,"14DS",48,201,193.462
58,2,"14DS",3,197.3,192.529
60,2,"14DS",131,181.7,187.814
62,2,"14DS",17,196.7,205.435
67,2,"14DS",83,213,201.701
70,2,"14DS",161,214,213.131
71,2,"14DS",82,208.7,202.284
82,2,"14DS",154,201.3,199.446
87,2,"14DS",47,208.3,210.643
97,2,"14WW",139,208.3,205.78
101,2,"14WW",60,193,199.992
104,2,"14WW",24,199.7,200.644
105,2,"14WW",106,203.7,197.191
112,2,"14WW",18,214,191.014
117,2,"14WW",136,177.7,189.32
118,2,"14WW",6,184,188.961
122,2,"14WW",27,192.7,197.337
130,2,"14WW",173,196,187.403
133,2,"14WW",9,183.7,199.376
141,2,"14WW",121,101.3,112.092
142,2,"14WW",5,178,196.452
150,2,"14WW",14,187.3,182.322
157,2,"14WW",52,219.3,209.89
164,2,"14WW",128,193.7,188.38
167,2,"14WW",92,178,193.709
172,2,"14WW",93,175,194.818
180,2,"14WW",107,191.3,194.74
183,2,"14WW",87,199.3,196.107
196,2,"16DS",29,184,191.247
201,2,"16DS",58,190.33,183.055
204,2,"16DS",25,181,189.042
217,2,"16DS",141,188.67,182.523
220,2,"16DS",30,188,178.361
226,2,"16DS",61,188,199.098
239,2,"16DS",10,168.67,160.972
242,2,"16DS",53,181.67,186.473
243,2,"16DS",54,189.67,200.113
244,2,"16DS",177,193.67,178.444
248,2,"16DS",90,179.33,171.217
249,2,"16DS",35,186,188.921
255,2,"16DS",94,183,185.844
256,2,"16DS",114,192,197.838
261,2,"16DS",158,197.67,198.669
264,2,"16DS",76,187,182.809
267,2,"16DS",65,190.33,184.224
271,2,"16DS",78,169.33,184.868
272,2,"16DS",165,144.67,181.924
289,2,"16WW",75,177,186.344
290,2,"16WW",69,204,201.755
292,2,"16WW",40,210.33,188.382
294,2,"16WW",145,214,198.655
299,2,"16WW",66,194.33,191.949
307,2,"16WW",85,159.67,186.436
311,2,"16WW",1,189,187.038
316,2,"16WW",37,199,186.911
319,2,"16WW",138,182.67,179.649
326,2,"16WW",11,191.67,182.421
327,2,"16WW",89,203,200.746
332,2,"16WW",103,201,203.79
347,2,"16WW",57,180,190.318
355,2,"16WW",123,147.67,79.629
364,2,"16WW",28,204.33,195.637
365,2,"16WW",81,205,207.361
369,2,"16WW",68,201.33,200.26
374,2,"16WW",36,201.67,200.05
376,2,"16WW",112,189.33,189.139
378,2,"16WW",77,178,184.9
4,3,"14DS",107,205.7,202.463
20,3,"14DS",25,202.7,214.089
28,3,"14DS",14,197,193.722
32,3,"14DS",158,211.7,220.19
33,3,"14DS",90,193,198.648
42,3,"14DS",177,207.7,198.523
43,3,"14DS",6,191,198.746
51,3,"14DS",76,202,201.407
52,3,"14DS",38,203,200.798
53,3,"14DS",92,199,199.06
61,3,"14DS",19,202.3,199.249
65,3,"14DS",121,132.7,130.302
79,3,"14DS",20,199.7,198.937
83,3,"14DS",141,202.3,207.535
99,3,"14WW",55,193.3,201.618
106,3,"14WW",172,198,196.866
116,3,"14WW",133,180.7,185.269
121,3,"14WW",28,193.3,196.972
125,3,"14WW",131,181.7,171.778
126,3,"14WW",36,199.3,197.222
127,3,"14WW",61,206.7,207.289
132,3,"14WW",89,196.3,204.616
138,3,"14WW",68,204,197.979
143,3,"14WW",42,201.7,193.715
145,3,"14WW",156,200.7,185.293
146,3,"14WW",30,196.7,189.732
153,3,"14WW",13,172.3,183.403
155,3,"14WW",135,177.7,189.594
