"testing","fold","env","individual","observed","predicted"
6,1,"14DS",70,196,185.807
7,1,"14DS",106,200,208.102
11,1,"14DS",142,209,210.56
12,1,"14DS",33,228.3,182.084
16,1,"14DS",26,218.7,183.308
17,1,"14DS",53,211.7,204.024
24,1,"14DS",87,202.3,182.345
31,1,"14DS",148,186,219.529
40,1,"14DS",68,199,217.8
43,1,"14DS",6,191,217.41
45,1,"14DS",65,203.7,187.287
58,1,"14DS",3,197.3,229.374
62,1,"14DS",17,196.7,172.781
66,1,"14DS",4,201.7,172.339
67,1,"14DS",83,213,187.412
72,1,"14DS",136,201.3,185.545
88,1,"14DS",89,220,201.607
90,1,"14DS",35,202.7,231.645
92,1,"14DS",135,196.3,207.89
93,1,"14DS",81,215.3,238.239
100,1,"14WW",70,173.7,178.057
103,1,"14WW",83,199,180.442
105,1,"14WW",106,203.7,197.435
117,1,"14WW",136,177.7,176.92
118,1,"14WW",6,184,210.115
129,1,"14WW",142,195,201.266
132,1,"14WW",89,196.3,192.457
137,1,"14WW",81,203.7,227.302
138,1,"14WW",68,204,207.905
139,1,"14WW",4,182.7,160.909
152,1,"14WW",148,166.3,213.221
154,1,"14WW",26,190,174.29
155,1,"14WW",135,177.7,197.515
156,1,"14WW",33,204,171.091
160,1,"14WW",35,199.7,220.66
163,1,"14WW",3,186.7,220.023
166,1,"14WW",65,189,177.934
183,1,"14WW",87,199.3,171.304
186,1,"14WW",53,200.3,194.869
191,1,"14WW",17,181,161.833
203,1,"16DS",87,188.67,158.313
205,1,"16DS",89,195.67,182.384
208,1,"16DS",136,183.33,166.425
214,1,"16DS",148,164.67,204.986
218,1,"16DS",17,198.67,151.294
222,1,"16DS",68,198,194.008
228,1,"16DS",26,188.33,159.373
230,1,"16DS",81,192.33,215.858
232,1,"16DS",4,180.67,148.34
242,1,"16DS",53,181.67,181.285
249,1,"16DS",35,186,212.133
251,1,"16DS",83,189,163.244
254,1,"16DS",3,186,210.081
265,1,"16DS",135,179.67,180.316
266,1,"16DS",70,184,160.077
267,1,"16DS",65,190.33,166.449
275,1,"16DS",33,172,156.551
280,1,"16DS",142,181.33,192.394
283,1,"16DS",106,196.67,191.206
286,1,"16DS",6,176,198.425
291,1,"16WW",17,203.33,159.502
302,1,"16WW",106,206.67,200.063
305,1,"16WW",53,186,198.981
308,1,"16WW",142,159.67,206.247
312,1,"16WW",136,191,176.849
318,1,"16WW",4,208.67,162.325
327,1,"16WW",89,203,191.161
331,1,"16WW",135,193,200.532
339,1,"16WW",6,186.67,206.747
343,1,"16WW",87,199.67,172.654
344,1,"16WW",35,189,219.733
345,1,"16WW",83,190,185.777
350,1,"16WW",33,163.67,176.486
351,1,"16WW",3,161.67,226.183
360,1,"16WW",65,196,177.751
362,1,"16WW",70,194,176.941
365,1,"16WW",81,205,227.798
366,1,"16WW",148,181,212.136
369,1,"16WW",68,201.33,208.817
383,1,"16WW",26,204.67,178.11
4,2,"14DS",107,205.7,199.494
5,2,"14DS",96,216,209.973
10,2,"14DS",139,214.7,216.1
14,2,"14DS",72,200,201.008
29,2,"14DS",28,210.3,185.319
30,2,"14DS",5,192.3,202.278
34,2,"14DS",95,214.3,202.141
35,2,"14DS",67,213.7,204.054
38,2,"14DS",128,194.3,219.874
44,2,"14DS",8,205.7,197.44
46,2,"14DS",60,204.7,204.696
50,2,"14DS",125,190.3,200.609
53,2,"14DS",92,199,200.463
54,2,"14DS",172,215,212.843
65,2,"14DS",121,132.7,208.978
76,2,"14DS",145,205.7,209.529
78,2,"14DS",27,209.3,204.08
85,2,"14DS",61,212,221.907
87,2,"14DS",47,208.3,206.446
89,2,"14DS",143,198.3,184.778
97,2,"14WW",139,208.3,207.329
101,2,"14WW",60,193,197.756
102,2,"14WW",125,183,192.548
106,2,"14WW",172,198,203.824
120,2,"14WW",72,205,191.468
121,2,"14WW",28,193.3,174.906
122,2,"14WW",27,192.7,195.007
124,2,"14WW",145,201,199.795
127,2,"14WW",61,206.7,213.399
141,2,"14WW",121,101.3,198.172
142,2,"14WW",5,178,193.273
149,2,"14WW",95,200.3,191.731
159,2,"14WW",8,188,187.105
164,2,"14WW",128,193.7,211.951
167,2,"14WW",92,178,192.114
169,2,"14WW",67,194,196.341
170,2,"14WW",47,193.3,195.647
174,2,"14WW",143,188,177.268
175,2,"14WW",96,199,201.178
180,2,"14WW",107,191.3,190.665
194,2,"16DS",143,167,166.703
206,2,"16DS",172,185,192.563
207,2,"16DS",107,186.33,177.042
209,2,"16DS",128,169.67,200.458
210,2,"16DS",72,182.33,182.396
219,2,"16DS",139,193.33,197.221
223,2,"16DS",28,185.67,163.637
226,2,"16DS",61,188,205.725
227,2,"16DS",92,179.33,180.909
233,2,"16DS",145,178.33,190.461
234,2,"16DS",121,70.67,190.214
236,2,"16DS",96,191.67,186.833
241,2,"16DS",5,189,179.386
245,2,"16DS",47,202.33,188.567
253,2,"16DS",95,187,180.313
257,2,"16DS",67,191.33,188.494
258,2,"16DS",125,170.67,183.916
263,2,"16DS",27,188.33,181.465
278,2,"16DS",60,195.67,185.136
284,2,"16DS",8,195.67,177.254
294,2,"16WW",145,214,201.312
297,2,"16WW",121,92,200.313
300,2,"16WW",125,186,192.303
303,2,"16WW",92,192.33,194.954
310,2,"16WW",67,194.67,195.328
313,2,"16WW",96,213,197.6
314,2,"16WW",61,208.33,212.723
320,2,"16WW",60,201,191.985
324,2,"16WW",47,202,196.635
333,2,"16WW",128,183,210.178
340,2,"16WW",95,207.33,192.493
346,2,"16WW",27,189,190.299
353,2,"16WW",172,185,204.957
354,2,"16WW",143,186.33,175.437
359,2,"16WW",107,186,188.631
364,2,"16WW",28,204.33,177.049
372,2,"16WW",5,193.67,192.566
373,2,"16WW",72,198.33,189.482
381,2,"16WW",139,210.67,210.051
384,2,"16WW",8,187.67,189.864
13,3,"14DS",52,224,234.249
15,3,"14DS",85,204,190.425
18,3,"14DS",57,190.7,202.513
21,3,"14DS",103,208.3,230.712
23,3,"14DS",77,202.3,216.221
26,3,"14DS",42,200.7,194.468
32,3,"14DS",158,211.7,220.242
36,3,"14DS",66,201,169.564
42,3,"14DS",177,207.7,178.318
49,3,"14DS",114,209,212.271
52,3,"14DS",38,203,207.53
56,3,"14DS",48,201,165.98
59,3,"14DS",69,215,219.382
61,3,"14DS",19,202.3,190.342
69,3,"14DS",138,184.3,189.872
70,3,"14DS",161,214,219.579
71,3,"14DS",82,208.7,190.8
80,3,"14DS",58,211.3,200.382
84,3,"14DS",159,198.3,209.33
91,3,"14DS",2,198.3,153.547
98,3,"14WW",38,179.7,198.18
108,3,"14WW",138,190,182.337
110,3,"14WW",114,213.7,199.028
113,3,"14WW",158,220,207.535
134,3,"14WW",66,195.3,158.182
136,3,"14WW",161,197,209.585
143,3,"14WW",42,201.7,184.163
147,3,"14WW",177,193.3,166.421
151,3,"14WW",82,198.3,179.032
157,3,"14WW",52,219.3,225.201
161,3,"14WW",57,200,193.766
162,3,"14WW",85,189.3,181.264
165,3,"14WW",48,189.3,156.084
171,3,"14WW",2,181.3,142.165
173,3,"14WW",19,182,181.342
179,3,"14WW",77,177,206.838
184,3,"14WW",58,196,188.1
185,3,"14WW",103,202,221.796
187,3,"14WW",69,207.3,208.602
189,3,"14WW",159,200,196.761
197,3,"16DS",159,187.33,188.805
198,3,"16DS",85,177.67,170.086
199,3,"16DS",161,200.67,199.898
201,3,"16DS",58,190.33,174.66
211,3,"16DS",69,181.67,199.665
212,3,"16DS",2,190,129.114
221,3,"16DS",19,185.33,171.156
229,3,"16DS",138,160,169.777
244,3,"16DS",177,193.67,155.768
247,3,"16DS",66,186.33,147.278
252,3,"16DS",48,183.67,142.597
256,3,"16DS",114,192,191.273
259,3,"16DS",103,184.67,211.79
260,3,"16DS",82,199.67,170.581
261,3,"16DS",158,197.67,199.09
262,3,"16DS",38,188.67,191.636
270,3,"16DS",77,163,198.412
277,3,"16DS",52,190,214.417
281,3,"16DS",42,186,170.343
287,3,"16DS",57,183,182.942
290,3,"16WW",69,204,210.885
295,3,"16WW",158,209,206.169
298,3,"16WW",159,196,198.066
299,3,"16WW",66,194.33,160.024
301,3,"16WW",2,187,145.327
306,3,"16WW",82,182,184.781
307,3,"16WW",85,159.67,182.117
309,3,"16WW",58,203.33,191.448
319,3,"16WW",138,182.67,182.224
329,3,"16WW",42,188.33,182.713
330,3,"16WW",114,210.33,201.997
332,3,"16WW",103,201,224.874
347,3,"16WW",57,180,194.021
348,3,"16WW",48,179.67,158.58
361,3,"16WW",38,189.33,202.349
363,3,"16WW",177,195,170.883
367,3,"16WW",52,202.67,223.425
378,3,"16WW",77,178,207.537
379,3,"16WW",19,190,178.224
380,3,"16WW",161,206.33,213.573
1,4,"14DS",29,214.3,194.016
3,4,"14DS",93,203.3,207.064
9,4,"14DS",40,202.3,188.906
20,4,"14DS",25,202.7,204.574
22,4,"14DS",112,197,204.874
27,4,"14DS",13,197.3,193.764
28,4,"14DS",14,197,194.218
33,4,"14DS",90,193,225.006
37,4,"14DS",16,220,195.856
39,4,"14DS",10,177,216.087
41,4,"14DS",30,204.7,202.853
55,4,"14DS",156,200.3,209.21
63,4,"14DS",75,185.7,208.413
64,4,"14DS",97,202,178.103
73,4,"14DS",11,198.7,198.574
75,4,"14DS",94,197.3,203.732
77,4,"14DS",123,97.7,203.501
79,4,"14DS",20,199.7,200.25
83,4,"14DS",141,202.3,208.246
95,4,"14DS",36,205.3,196.535
109,4,"14WW",20,189.3,189.535
114,4,"14WW",16,218.3,188.509
115,4,"14WW",25,200.3,192.54
119,4,"14WW",94,198.3,195.182
123,4,"14WW",10,174.3,205.961
126,4,"14WW",36,199.3,184.709
135,4,"14WW",29,208.7,177.778
140,4,"14WW",11,180,188.513
145,4,"14WW",156,200.7,196.869
146,4,"14WW",30,196.7,191.412
150,4,"14WW",14,187.3,186.53
153,4,"14WW",13,172.3,182.153
158,4,"14WW",112,192.3,196.087
172,4,"14WW",93,175,196.136
177,4,"14WW",40,202.3,178.971
178,4,"14WW",97,186,168.271
181,4,"14WW",90,172.7,216.436
182,4,"14WW",141,192.7,195.071
188,4,"14WW",75,186,197.027
