"testing","fold","env","individual","observed","predicted"
9,1,"14DS",40,202.3,201.534
10,1,"14DS",139,214.7,212.947
11,1,"14DS",142,209,197.571
15,1,"14DS",85,204,185.84
22,1,"14DS",112,197,203.121
24,1,"14DS",87,202.3,208.235
25,1,"14DS",1,199,197.066
35,1,"14DS",67,213.7,204.088
41,1,"14DS",30,204.7,201.923
44,1,"14DS",8,205.7,196.998
46,1,"14DS",60,204.7,205.478
54,1,"14DS",172,215,205.469
66,1,"14DS",4,201.7,200.53
69,1,"14DS",138,184.3,191.288
73,1,"14DS",11,198.7,191.368
78,1,"14DS",27,209.3,200.647
81,1,"14DS",165,204,188.726
84,1,"14DS",159,198.3,206.112
86,1,"14DS",173,206,200.805
91,1,"14DS",2,198.3,191.169
93,1,"14DS",81,215.3,220.779
94,1,"14DS",37,205.7,201.39
98,1,"14WW",38,179.7,192.175
100,1,"14WW",70,173.7,185.627
110,1,"14WW",114,213.7,201.009
111,1,"14WW",76,203.7,193.182
113,1,"14WW",158,220,206.19
114,1,"14WW",16,218.3,196.418
119,1,"14WW",94,198.3,191.545
124,1,"14WW",145,201,197.587
131,1,"14WW",15,179.3,180.278
135,1,"14WW",29,208.7,195.532
148,1,"14WW",54,211.3,205.209
149,1,"14WW",95,200.3,197.028
160,1,"14WW",35,199.7,197.07
163,1,"14WW",3,186.7,181.058
166,1,"14WW",65,189,200.138
179,1,"14WW",77,177,187.737
181,1,"14WW",90,172.7,191.883
184,1,"14WW",58,196,198.169
187,1,"14WW",69,207.3,199.936
188,1,"14WW",75,186,183.592
190,1,"14WW",78,192.7,189.435
202,1,"16DS",123,0,120.276
205,1,"16DS",89,195.67,191.029
210,1,"16DS",72,182.33,184.992
213,1,"16DS",64,188.67,187.299
221,1,"16DS",19,185.33,174.703
222,1,"16DS",68,198,182.284
223,1,"16DS",28,185.67,185.598
228,1,"16DS",26,188.33,185.477
231,1,"16DS",133,182.33,177.184
241,1,"16DS",5,189,175.9
247,1,"16DS",66,186.33,180.558
252,1,"16DS",48,183.67,173.274
260,1,"16DS",82,199.67,184.598
265,1,"16DS",135,179.67,172.941
268,1,"16DS",20,181,179.773
277,1,"16DS",52,190,196.593
281,1,"16DS",42,186,177.562
286,1,"16DS",6,176,173.827
291,1,"16WW",17,203.33,185.548
305,1,"16WW",53,186,199.684
314,1,"16WW",61,208.33,203.312
315,1,"16WW",25,203,198.325
317,1,"16WW",24,203,196.282
321,1,"16WW",154,192,191.887
323,1,"16WW",141,198.67,192.553
325,1,"16WW",55,206.67,199.602
328,1,"16WW",14,179,181.751
334,1,"16WW",97,204.33,188.378
350,1,"16WW",33,163.67,201.505
