Env,Variety,isolate,HP,lesionO,index
1,CML220,FV.TN.04,CML220xFV.TN.04,22,1476
1,CML220,FV.NE.02,CML220xFV.NE.02,13,1477
1,CML220,FV.NE.02,CML220xFV.NE.02,27,1478
1,CML220,FV.NE.02,CML220xFV.NE.02,30,1479
1,CML220,FV32968,CML220xFV32968,9,1481
1,CML220,FV32963,CML220xFV32963,16,1491
1,CML220,FV28949,CML220xFV28949,22,1492
1,CML220,FV28949,CML220xFV28949,27,1494
1,Ms71,FV.TN.04,Ms71xFV.TN.04,37,1501
1,Ms71,FV32968,Ms71xFV32968,22,1507
1,Ms71,FV32963,Ms71xFV32963,16,1516
1,Ms71,FV32963,Ms71xFV32963,23,1517
1,B97,FV.NE.02,B97xFV.NE.02,12,1531
1,B97,FV.NE.02,B97xFV.NE.02,28,1532
1,B97,FV.NE.02,B97xFV.NE.02,41,1533
1,B97,FV32968,B97xFV32968,20,1534
1,B97,FV32968,B97xFV32968,15,1535
1,B97,FV32968,B97xFV32968,8,1536
1,B97,FV32963,B97xFV32963,3,1543
1,B97,FV32963,B97xFV32963,10,1544
1,B97,FV32963,B97xFV32963,14,1545
1,B97,FV28949,B97xFV28949,15,1546
1,B97,FV28949,B97xFV28949,31,1547
1,B97,FV28948,B97xFV28948,21,1549
1,B97,FV28948,B97xFV28948,35,1551
1,B97,FV34715,B97xFV34715,13,1552
1,B97,FV34713,B97xFV34713,18,1555
1,B97,FV34713,B97xFV34713,29,1557
1,B97,FV34713,B97xFV34713,23,1558
1,B97,FV34713,B97xFV34713,12,1559
1,B97,FV34713,B97xFV34713,10,1560
1,B75,FV32968,B75xFV32968,26,1561
1,B75,FV32968,B75xFV32968,32,1562
1,B75,FV32963,B75xFV32963,34,1570
1,B75,FV32963,B75xFV32963,42,1571
1,B75,FV32963,B75xFV32963,19,1572
1,B75,FV28949,B75xFV28949,40,1573
1,B75,FV28949,B75xFV28949,52,1574
1,B75,FV28948,B75xFV28948,40,1577
1,B57,FV32963,B57xFV32963,17,1597
1,B57,FV32963,B57xFV32963,18,1598
1,B57,FV28949,B57xFV28949,25,1600
1,B57,FV28949,B57xFV28949,45,1601
1,B57,FV28949,B57xFV28949,27,1602
1,B57,FV34715,B57xFV34715,25,1606
1,B57,FV34715,B57xFV34715,25,1607
1,B57,FV34713,B57xFV34713,26,1610
1,B57,FV34713,B57xFV34713,35,1611
1,Oh603,FV32963,Oh603xFV32963,7,1624
1,Oh603,FV32963,Oh603xFV32963,16,1625
1,Oh603,FV32963,Oh603xFV32963,7,1626
1,Oh603,FV28949,Oh603xFV28949,32,1627
1,Oh603,FV28948,Oh603xFV28948,55,1631
1,Oh603,FV28948,Oh603xFV28948,7,1632
1,Oh603,FV34715,Oh603xFV34715,21,1633
1,Oh603,FV34715,Oh603xFV34715,53,1634
1,Oh603,FV34715,Oh603xFV34715,26,1635
1,Oh603,FV34713,Oh603xFV34713,5,1636
1,Oh603,FV34713,Oh603xFV34713,45,1637
1,Oh603,FV34183,Oh603xFV34183,16,1639
1,Oh603,FV34183,Oh603xFV34183,4,1640
1,Oh603,FV34183,Oh603xFV34183,50,1641
1,Oh603,FV34179,Oh603xFV34179,8,1642
1,Oh603,FV34179,Oh603xFV34179,44,1643
1,Oh603,FV34179,Oh603xFV34179,43,1644
1,A680,FV32963,A680xFV32963,12,1651
1,A680,FV28949,A680xFV28949,30,1654
1,A680,FV28949,A680xFV28949,41,1656
1,A680,FV28948,A680xFV28948,10,1657
1,A680,FV28948,A680xFV28948,28,1659
1,A680,FV34715,A680xFV34715,32,1660
1,A680,FV34715,A680xFV34715,49,1661
1,A680,FV34715,A680xFV34715,51,1662
1,A680,FV34713,A680xFV34713,32,1663
1,A680,FV34713,A680xFV34713,47,1665
1,A680,FV34183,A680xFV34183,13,1666
1,A680,FV34183,A680xFV34183,32,1667
1,A680,FV34183,A680xFV34183,9,1668
1,NC358,FV28949,NC358xFV28949,12,1681
1,NC358,FV28949,NC358xFV28949,20,1682
1,NC358,FV28948,NC358xFV28948,27,1684
1,NC358,FV28948,NC358xFV28948,21,1685
1,NC358,FV28948,NC358xFV28948,15,1686
1,NC358,FV34715,NC358xFV34715,41,1687
1,NC358,FV34715,NC358xFV34715,45,1688
1,NC358,FV34715,NC358xFV34715,36,1689
1,NC358,FV34713,NC358xFV34713,28,1690
1,NC358,FV34713,NC358xFV34713,31,1691
1,NC358,FV34713,NC358xFV34713,28,1692
1,NC358,FV34183,NC358xFV34183,16,1693
1,NC358,FV34183,NC358xFV34183,11,1694
1,NC358,FV34183,NC358xFV34183,16,1695
1,NC358,FV34179,NC358xFV34179,3,1696
1,NC358,FV34179,NC358xFV34179,29,1697
1,NC358,FV34179,NC358xFV34179,36,1698
1,CML322,FV28948,CML322xFV28948,28,1711
1,CML322,FV28948,CML322xFV28948,20,1712
1,CML322,FV28948,CML322xFV28948,32,1713
1,CML322,FV34715,CML322xFV34715,18,1714
