"testing","fold","env","individual","observed","predicted"
3,1,"14DS",93,203.3,197.448
7,1,"14DS",106,200,214.315
12,1,"14DS",33,228.3,194.925
19,1,"14DS",64,199,210.777
23,1,"14DS",77,202.3,188.068
24,1,"14DS",87,202.3,208.937
34,1,"14DS",95,214.3,210.65
41,1,"14DS",30,204.7,207.384
47,1,"14DS",55,216,209.901
53,1,"14DS",92,199,197.819
54,1,"14DS",172,215,203.172
60,1,"14DS",131,181.7,190.249
63,1,"14DS",75,185.7,193.301
69,1,"14DS",138,184.3,191.94
74,1,"14DS",54,214.7,216.536
85,1,"14DS",61,212,213.607
86,1,"14DS",173,206,202.49
95,1,"14DS",36,205.3,210.08
97,1,"14WW",139,208.3,205.768
98,1,"14WW",38,179.7,194.282
102,1,"14WW",125,183,182.88
111,1,"14WW",76,203.7,195.93
112,1,"14WW",18,214,190.235
119,1,"14WW",94,198.3,194.238
136,1,"14WW",161,197,205.636
137,1,"14WW",81,203.7,203.648
141,1,"14WW",121,101.3,107.787
142,1,"14WW",5,178,192.004
147,1,"14WW",177,193.3,198.575
151,1,"14WW",82,198.3,196.817
159,1,"14WW",8,188,196.092
165,1,"14WW",48,189.3,188.725
170,1,"14WW",47,193.3,203.326
176,1,"14WW",165,187.7,182.846
177,1,"14WW",40,202.3,192.176
186,1,"14WW",53,200.3,192.625
193,1,"16DS",37,161,185.773
198,1,"16DS",85,177.67,171.354
207,1,"16DS",107,186.33,180.629
208,1,"16DS",136,183.33,176.901
217,1,"16DS",141,188.67,183.295
222,1,"16DS",68,198,186.653
223,1,"16DS",28,185.67,187.254
225,1,"16DS",24,180.67,187.917
231,1,"16DS",133,182.33,178.536
238,1,"16DS",11,173.67,176.839
239,1,"16DS",10,168.67,159.151
256,1,"16DS",114,192,196.363
267,1,"16DS",65,190.33,182.561
269,1,"16DS",112,180,179.156
274,1,"16DS",15,174,170.58
277,1,"16DS",52,190,200.329
282,1,"16DS",97,196.67,182.991
286,1,"16DS",6,176,174.587
291,1,"16WW",17,203.33,190.524
294,1,"16WW",145,214,194.426
295,1,"16WW",158,209,207.557
298,1,"16WW",159,196,194.33
301,1,"16WW",2,187,188.781
309,1,"16WW",58,203.33,197.817
310,1,"16WW",67,194.67,198.708
313,1,"16WW",96,213,200.442
320,1,"16WW",60,201,195.172
328,1,"16WW",14,179,182.432
329,1,"16WW",42,188.33,195.205
331,1,"16WW",135,193,184.732
337,1,"16WW",78,191.33,184.894
344,1,"16WW",35,189,195.724
345,1,"16WW",83,190,198.801
346,1,"16WW",27,189,196.092
354,1,"16WW",143,186.33,184.15
355,1,"16WW",123,147.67,75.372
357,1,"16WW",9,200.33,190.023
358,1,"16WW",90,190,181.162
373,1,"16WW",72,198.33,194.422
379,1,"16WW",19,190,188.826
382,1,"16WW",13,196,180.689
1,2,"14DS",29,214.3,213.668
15,2,"14DS",85,204,189.454
