"testing","fold","env","individual","observed","predicted"
3,1,"14DS",93,203.3,197.341
7,1,"14DS",106,200,215.169
12,1,"14DS",33,228.3,195.843
19,1,"14DS",64,199,210.672
23,1,"14DS",77,202.3,188.935
24,1,"14DS",87,202.3,208.237
34,1,"14DS",95,214.3,210.81
41,1,"14DS",30,204.7,207.647
47,1,"14DS",55,216,210.191
53,1,"14DS",92,199,197.969
54,1,"14DS",172,215,203.35
60,1,"14DS",131,181.7,191.769
63,1,"14DS",75,185.7,193.863
69,1,"14DS",138,184.3,192.31
74,1,"14DS",54,214.7,215.937
85,1,"14DS",61,212,214.471
86,1,"14DS",173,206,202.406
95,1,"14DS",36,205.3,210.426
97,1,"14WW",139,208.3,205.211
98,1,"14WW",38,179.7,193.344
102,1,"14WW",125,183,183.578
111,1,"14WW",76,203.7,196.119
112,1,"14WW",18,214,189.712
119,1,"14WW",94,198.3,193.578
136,1,"14WW",161,197,206.097
137,1,"14WW",81,203.7,203.886
141,1,"14WW",121,101.3,108.732
142,1,"14WW",5,178,192.124
147,1,"14WW",177,193.3,198.32
151,1,"14WW",82,198.3,197.045
159,1,"14WW",8,188,196.664
165,1,"14WW",48,189.3,188.355
170,1,"14WW",47,193.3,203.658
176,1,"14WW",165,187.7,181.814
177,1,"14WW",40,202.3,191.642
186,1,"14WW",53,200.3,192.808
193,1,"16DS",37,161,185.473
198,1,"16DS",85,177.67,170.833
207,1,"16DS",107,186.33,179.252
208,1,"16DS",136,183.33,175.995
217,1,"16DS",141,188.67,183.191
222,1,"16DS",68,198,186.555
223,1,"16DS",28,185.67,187.678
225,1,"16DS",24,180.67,187.645
231,1,"16DS",133,182.33,178.649
238,1,"16DS",11,173.67,176.812
239,1,"16DS",10,168.67,159.19
256,1,"16DS",114,192,195.735
267,1,"16DS",65,190.33,181.297
269,1,"16DS",112,180,179.276
274,1,"16DS",15,174,170.907
277,1,"16DS",52,190,199.025
282,1,"16DS",97,196.67,183.101
286,1,"16DS",6,176,174.198
291,1,"16WW",17,203.33,191.366
294,1,"16WW",145,214,194.882
295,1,"16WW",158,209,206.958
298,1,"16WW",159,196,193.983
301,1,"16WW",2,187,188.984
309,1,"16WW",58,203.33,198.075
310,1,"16WW",67,194.67,198.469
313,1,"16WW",96,213,200.552
320,1,"16WW",60,201,197.007
328,1,"16WW",14,179,181.828
329,1,"16WW",42,188.33,195.594
331,1,"16WW",135,193,185.158
337,1,"16WW",78,191.33,184.753
344,1,"16WW",35,189,194.646
345,1,"16WW",83,190,199.061
346,1,"16WW",27,189,195.527
354,1,"16WW",143,186.33,184.094
355,1,"16WW",123,147.67,75.075
357,1,"16WW",9,200.33,189.847
358,1,"16WW",90,190,181.793
373,1,"16WW",72,198.33,195.59
379,1,"16WW",19,190,189.714
382,1,"16WW",13,196,179.97
1,2,"14DS",29,214.3,213.596
15,2,"14DS",85,204,189.595
16,2,"14DS",26,218.7,206.08
25,2,"14DS",1,199,199.613
29,2,"14DS",28,210.3,205.597
32,2,"14DS",158,211.7,217.479
37,2,"14DS",16,220,209.645
52,2,"14DS",38,203,198.957
