"testing","fold","env","individual","observed","predicted"
1,1,"14DS",29,214.3,200.355
7,1,"14DS",106,200,202.698
10,1,"14DS",139,214.7,200.388
13,1,"14DS",52,224,207.762
20,1,"14DS",25,202.7,199.464
22,1,"14DS",112,197,205.123
30,1,"14DS",5,192.3,200.352
38,1,"14DS",128,194.3,204.403
51,1,"14DS",76,202,204.892
53,1,"14DS",92,199,199.976
57,1,"14DS",24,204.3,200.696
61,1,"14DS",19,202.3,205.993
63,1,"14DS",75,185.7,198.737
64,1,"14DS",97,202,201.607
66,1,"14DS",4,201.7,199.037
74,1,"14DS",54,214.7,206.633
81,1,"14DS",165,204,201.969
83,1,"14DS",141,202.3,200.303
84,1,"14DS",159,198.3,204.404
95,1,"14DS",36,205.3,201.106
97,1,"14WW",139,208.3,189.308
104,1,"14WW",24,199.7,189.616
105,1,"14WW",106,203.7,191.619
111,1,"14WW",76,203.7,193.813
115,1,"14WW",25,200.3,188.384
126,1,"14WW",36,199.3,190.026
135,1,"14WW",29,208.7,189.276
139,1,"14WW",4,182.7,187.958
142,1,"14WW",5,178,189.273
148,1,"14WW",54,211.3,195.553
157,1,"14WW",52,219.3,196.683
158,1,"14WW",112,192.3,194.044
164,1,"14WW",128,193.7,193.323
167,1,"14WW",92,178,188.897
173,1,"14WW",19,182,194.913
176,1,"14WW",165,187.7,190.89
178,1,"14WW",97,186,190.527
182,1,"14WW",141,192.7,189.223
188,1,"14WW",75,186,187.657
189,1,"14WW",159,200,193.325
196,1,"16DS",29,184,179.374
197,1,"16DS",159,187.33,183.423
200,1,"16DS",75,172.33,177.755
204,1,"16DS",25,181,178.482
209,1,"16DS",128,169.67,183.421
217,1,"16DS",141,188.67,179.321
219,1,"16DS",139,193.33,179.406
221,1,"16DS",19,185.33,185.011
225,1,"16DS",24,180.67,179.714
227,1,"16DS",92,179.33,178.995
232,1,"16DS",4,180.67,178.056
241,1,"16DS",5,189,179.371
243,1,"16DS",54,189.67,185.652
250,1,"16DS",36,192,180.124
264,1,"16DS",76,187,183.911
269,1,"16DS",112,180,184.142
272,1,"16DS",165,144.67,180.988
277,1,"16DS",52,190,186.781
282,1,"16DS",97,196.67,180.626
283,1,"16DS",106,196.67,181.717
289,1,"16WW",75,177,188.062
296,1,"16WW",29,220,189.681
298,1,"16WW",159,196,193.73
302,1,"16WW",106,206.67,192.024
303,1,"16WW",92,192.33,189.301
315,1,"16WW",25,203,188.789
317,1,"16WW",24,203,190.021
318,1,"16WW",4,208.67,188.363
323,1,"16WW",141,198.67,189.628
333,1,"16WW",128,183,193.728
334,1,"16WW",97,204.33,190.932
341,1,"16WW",165,193.33,191.295
367,1,"16WW",52,202.67,197.088
370,1,"16WW",54,210.67,195.958
371,1,"16WW",76,197.33,194.218
372,1,"16WW",5,193.67,189.678
374,1,"16WW",36,201.67,190.431
376,1,"16WW",112,189.33,194.449
379,1,"16WW",19,190,195.318
381,1,"16WW",139,210.67,189.713
4,2,"14DS",107,205.7,199.567
5,2,"14DS",96,216,200.758
6,2,"14DS",70,196,195.356
8,2,"14DS",15,192.7,205.267
11,2,"14DS",142,209,201.596
12,2,"14DS",33,228.3,197.315
14,2,"14DS",72,200,200.758
16,2,"14DS",26,218.7,207.446
21,2,"14DS",103,208.3,205.194
27,2,"14DS",13,197.3,196.638
29,2,"14DS",28,210.3,202.682
39,2,"14DS",10,177,200.168
69,2,"14DS",138,184.3,198.385
70,2,"14DS",161,214,200.188
78,2,"14DS",27,209.3,198.934
79,2,"14DS",20,199.7,197.523
86,2,"14DS",173,206,198.546
87,2,"14DS",47,208.3,201.954
89,2,"14DS",143,198.3,197.816
91,2,"14DS",2,198.3,201.836
100,2,"14WW",70,173.7,186.147
108,2,"14WW",138,190,189.176
109,2,"14WW",20,189.3,188.314
120,2,"14WW",72,205,191.549
121,2,"14WW",28,193.3,193.473
122,2,"14WW",27,192.7,189.725
123,2,"14WW",10,174.3,190.959
129,2,"14WW",142,195,192.387
130,2,"14WW",173,196,189.337
131,2,"14WW",15,179.3,196.058
136,2,"14WW",161,197,190.979
153,2,"14WW",13,172.3,187.429
154,2,"14WW",26,190,198.237
156,2,"14WW",33,204,188.106
170,2,"14WW",47,193.3,192.745
171,2,"14WW",2,181.3,192.627
174,2,"14WW",143,188,188.607
175,2,"14WW",96,199,191.549
180,2,"14WW",107,191.3,190.359
185,2,"14WW",103,202,195.985
194,2,"16DS",143,167,177.59
195,2,"16DS",173,173.67,178.32
199,2,"16DS",161,200.67,179.962
207,2,"16DS",107,186.33,179.342
210,2,"16DS",72,182.33,180.532
212,2,"16DS",2,190,181.61
223,2,"16DS",28,185.67,182.456
228,2,"16DS",26,188.33,187.22
229,2,"16DS",138,160,178.159
236,2,"16DS",96,191.67,180.532
239,2,"16DS",10,168.67,179.942
245,2,"16DS",47,202.33,181.728
259,2,"16DS",103,184.67,184.968
263,2,"16DS",27,188.33,178.708
266,2,"16DS",70,184,175.13
268,2,"16DS",20,181,177.297
274,2,"16DS",15,174,185.041
275,2,"16DS",33,172,177.089
276,2,"16DS",13,169.67,176.412
280,2,"16DS",142,181.33,181.37
301,2,"16WW",2,187,193.603
308,2,"16WW",142,159.67,193.363
313,2,"16WW",96,213,192.525
319,2,"16WW",138,182.67,190.152
324,2,"16WW",47,202,193.721
332,2,"16WW",103,201,196.961
