"","model","term","value","percentage"
"1","Base model (E+G+L)","E",35.4706823528922,8.95542172852941
"2","Base model (E+G+L)","G",23.6501882387267,5.9710554065401
"3","Base model (E+G+L)","L",226.536757258068,57.1946199984528
"4","Base model (E+G+L)","residual",110.42290780943,27.8789028664777
"5","E+G+EG","E",35.9931168166405,2.64270931865808
"6","E+G+EG","G",1188.80231219905,87.2849929750524
"7","E+G+EG","E*G",23.5471317189649,1.72889235290143
"8","E+G+EG","residual",113.635336816223,8.34340535338812
