"testing","fold","env","individual","observed","predicted"
1,1,"14DS",29,214.3,173.019
13,1,"14DS",52,224,196.922
15,1,"14DS",85,204,204.001
18,1,"14DS",57,190.7,203.211
19,1,"14DS",64,199,182.414
26,1,"14DS",42,200.7,212.208
29,1,"14DS",28,210.3,202.904
39,1,"14DS",10,177,201.802
40,1,"14DS",68,199,200.084
42,1,"14DS",177,207.7,192.46
58,1,"14DS",3,197.3,195.756
64,1,"14DS",97,202,206.836
66,1,"14DS",4,201.7,191.563
69,1,"14DS",138,184.3,200.409
71,1,"14DS",82,208.7,205.697
79,1,"14DS",20,199.7,202.671
84,1,"14DS",159,198.3,200.339
86,1,"14DS",173,206,201.703
87,1,"14DS",47,208.3,203.38
92,1,"14DS",135,196.3,195.845
108,1,"14WW",138,190,188.56
109,1,"14WW",20,189.3,190.658
121,1,"14WW",28,193.3,189.074
123,1,"14WW",10,174.3,190.275
130,1,"14WW",173,196,189.567
135,1,"14WW",29,208.7,158.375
138,1,"14WW",68,204,188.605
139,1,"14WW",4,182.7,178.926
143,1,"14WW",42,201.7,202.407
147,1,"14WW",177,193.3,179.271
151,1,"14WW",82,198.3,195.12
155,1,"14WW",135,177.7,183.145
157,1,"14WW",52,219.3,186.049
161,1,"14WW",57,200,193.424
162,1,"14WW",85,189.3,192.324
163,1,"14WW",3,186.7,184.804
168,1,"14WW",64,202.7,168.852
170,1,"14WW",47,193.3,190.966
178,1,"14WW",97,186,196.765
189,1,"14WW",159,200,187.345
195,1,"16DS",173,173.67,179.387
196,1,"16DS",29,184,144.709
197,1,"16DS",159,187.33,181.609
198,1,"16DS",85,177.67,183.098
213,1,"16DS",64,188.67,159.33
222,1,"16DS",68,198,177.089
223,1,"16DS",28,185.67,180.722
229,1,"16DS",138,160,177.648
232,1,"16DS",4,180.67,167.056
239,1,"16DS",10,168.67,182.327
244,1,"16DS",177,193.67,165.988
245,1,"16DS",47,202.33,183.316
254,1,"16DS",3,186,173.258
260,1,"16DS",82,199.67,185.92
265,1,"16DS",135,179.67,166.38
268,1,"16DS",20,181,184.135
277,1,"16DS",52,190,174.798
281,1,"16DS",42,186,187.204
282,1,"16DS",97,196.67,182.811
287,1,"16DS",57,183,185.198
296,1,"16WW",29,220,161.548
298,1,"16WW",159,196,191.737
306,1,"16WW",82,182,198.315
307,1,"16WW",85,159.67,193.279
318,1,"16WW",4,208.67,184.445
319,1,"16WW",138,182.67,192.502
324,1,"16WW",47,202,192.783
329,1,"16WW",42,188.33,201.586
331,1,"16WW",135,193,186.057
334,1,"16WW",97,204.33,198.419
335,1,"16WW",64,201,170.544
347,1,"16WW",57,180,194.311
351,1,"16WW",3,161.67,189.188
352,1,"16WW",10,161.67,194.885
363,1,"16WW",177,195,181.063
364,1,"16WW",28,204.33,194.949
367,1,"16WW",52,202.67,186.985
369,1,"16WW",68,201.33,193.091
375,1,"16WW",173,197,194.763
377,1,"16WW",20,183.33,195.147
12,2,"14DS",33,228.3,205.987
20,2,"14DS",25,202.7,203.387
22,2,"14DS",112,197,197.376
28,2,"14DS",14,197,206.986
30,2,"14DS",5,192.3,191.951
32,2,"14DS",158,211.7,201.133
33,2,"14DS",90,193,198.723
37,2,"14DS",16,220,212.332
44,2,"14DS",8,205.7,204.423
45,2,"14DS",65,203.7,208.362
46,2,"14DS",60,204.7,196.378
50,2,"14DS",125,190.3,190.08
61,2,"14DS",19,202.3,204.496
68,2,"14DS",9,197.3,205.149
73,2,"14DS",11,198.7,198.301
77,2,"14DS",123,97.7,204.161
80,2,"14DS",58,211.3,204.994
83,2,"14DS",141,202.3,202.144
90,2,"14DS",35,202.7,201.954
93,2,"14DS",81,215.3,197.115
101,2,"14WW",60,193,191.617
102,2,"14WW",125,183,183.082
113,2,"14WW",158,220,189.392
114,2,"14WW",16,218.3,203.883
115,2,"14WW",25,200.3,191.547
133,2,"14WW",9,183.7,194.563
137,2,"14WW",81,203.7,184.692
140,2,"14WW",11,180,188.184
142,2,"14WW",5,178,185.203
150,2,"14WW",14,187.3,197.638
156,2,"14WW",33,204,193.032
158,2,"14WW",112,192.3,190.999
159,2,"14WW",8,188,193.837
160,2,"14WW",35,199.7,194.148
166,2,"14WW",65,189,199.444
173,2,"14WW",19,182,197.991
181,2,"14WW",90,172.7,189.97
182,2,"14WW",141,192.7,188.288
184,2,"14WW",58,196,195.418
192,2,"14WW",123,89.7,189.525
201,2,"16DS",58,190.33,183.214
202,2,"16DS",123,0,185.312
204,2,"16DS",25,181,181.393
217,2,"16DS",141,188.67,181.467
221,2,"16DS",19,185.33,183.5
230,2,"16DS",81,192.33,172.879
235,2,"16DS",14,160,185.998
238,2,"16DS",11,173.67,176.105
241,2,"16DS",5,189,170.947
248,2,"16DS",90,179.33,177.789
249,2,"16DS",35,186,182.883
258,2,"16DS",125,170.67,172.689
261,2,"16DS",158,197.67,177.905
267,2,"16DS",65,190.33,188.111
269,2,"16DS",112,180,173.799
275,2,"16DS",33,172,182.791
278,2,"16DS",60,195.67,176.372
279,2,"16DS",16,182.67,192.763
284,2,"16DS",8,195.67,185.244
288,2,"16DS",9,191.33,185.97
295,2,"16WW",158,209,186.528
300,2,"16WW",125,186,182.578
309,2,"16WW",58,203.33,197.108
315,2,"16WW",25,203,192.071
320,2,"16WW",60,201,185.848
323,2,"16WW",141,198.67,189.093
326,2,"16WW",11,191.67,187.486
328,2,"16WW",14,179,196.657
336,2,"16WW",16,195,202.39
344,2,"16WW",35,189,192.735
350,2,"16WW",33,163.67,194.59
355,2,"16WW",123,147.67,194.609
357,2,"16WW",9,200.33,191.677
358,2,"16WW",90,190,190.784
360,2,"16WW",65,196,198.908
365,2,"16WW",81,205,183.476
372,2,"16WW",5,193.67,181.476
376,2,"16WW",112,189.33,188.969
379,2,"16WW",19,190,193.378
384,2,"16WW",8,187.67,190.951
2,3,"14DS",18,222.7,205.857
3,3,"14DS",93,203.3,179.094
6,3,"14DS",70,196,190.213
9,3,"14DS",40,202.3,202.407
11,3,"14DS",142,209,205.232
16,3,"14DS",26,218.7,195.091
17,3,"14DS",53,211.7,200.906
21,3,"14DS",103,208.3,194.975
25,3,"14DS",1,199,192.905
27,3,"14DS",13,197.3,199.656
31,3,"14DS",148,186,189.278
35,3,"14DS",67,213.7,205.108
51,3,"14DS",76,202,208.119
52,3,"14DS",38,203,205.097
62,3,"14DS",17,196.7,204.216
67,3,"14DS",83,213,188.983
70,3,"14DS",161,214,207.361
74,3,"14DS",54,214.7,210.449
95,3,"14DS",36,205.3,187.827
