"testing","fold","env","individual","observed","predicted"
6,1,"14DS",70,196,197.306
9,1,"14DS",40,202.3,205.291
19,1,"14DS",64,199,208.495
23,1,"14DS",77,202.3,188.061
27,1,"14DS",13,197.3,191.205
35,1,"14DS",67,213.7,204.358
37,1,"14DS",16,220,208.495
43,1,"14DS",6,191,195.669
48,1,"14DS",133,206.7,198.113
55,1,"14DS",156,200.3,203.8
58,1,"14DS",3,197.3,191.695
71,1,"14DS",82,208.7,204.553
79,1,"14DS",20,199.7,198.096
81,1,"14DS",165,204,189.537
83,1,"14DS",141,202.3,205.655
88,1,"14DS",89,220,212.913
90,1,"14DS",35,202.7,202.592
94,1,"14DS",37,205.7,201.609
95,1,"14DS",36,205.3,207.776
96,1,"14DS",78,191.3,195.341
106,1,"14WW",172,198,195.544
120,1,"14WW",72,205,194.253
124,1,"14WW",145,201,199.326
131,1,"14WW",15,179.3,183.493
133,1,"14WW",9,183.7,196.206
141,1,"14WW",121,101.3,115.403
143,1,"14WW",42,201.7,196.494
152,1,"14WW",148,166.3,178.967
154,1,"14WW",26,190,203.522
155,1,"14WW",135,177.7,191.995
156,1,"14WW",33,204,186.609
157,1,"14WW",52,219.3,204.63
165,1,"14WW",48,189.3,185.745
166,1,"14WW",65,189,196.504
167,1,"14WW",92,178,194.044
172,1,"14WW",93,175,190.604
184,1,"14WW",58,196,201.064
188,1,"14WW",75,186,177.406
191,1,"14WW",17,181,199.342
199,1,"16DS",161,200.67,193.724
204,1,"16DS",25,181,186.033
207,1,"16DS",107,186.33,178.11
220,1,"16DS",30,188,181.086
225,1,"16DS",24,180.67,187.058
229,1,"16DS",138,160,171.722
230,1,"16DS",81,192.33,190.591
236,1,"16DS",96,191.67,189.753
237,1,"16DS",131,164.33,170.012
238,1,"16DS",11,173.67,174.206
239,1,"16DS",10,168.67,161.798
240,1,"16DS",55,190.67,189.309
241,1,"16DS",5,189,172.964
242,1,"16DS",53,181.67,183.568
253,1,"16DS",95,187,188.147
269,1,"16DS",112,180,177.375
287,1,"16DS",57,183,180.356
299,1,"16WW",66,194.33,192.706
307,1,"16WW",85,159.67,194.409
312,1,"16WW",136,191,189.435
314,1,"16WW",61,208.33,201.007
324,1,"16WW",47,202,202.751
328,1,"16WW",14,179,182.744
330,1,"16WW",114,210.33,203.235
338,1,"16WW",18,179,203.503
343,1,"16WW",87,199.67,195.767
358,1,"16WW",90,190,188.683
369,1,"16WW",68,201.33,203.117
370,1,"16WW",54,210.67,202.687
375,1,"16WW",173,197,196.275
379,1,"16WW",19,190,185.652
3,2,"14DS",93,203.3,196.616
10,2,"14DS",139,214.7,213.25
17,2,"14DS",53,211.7,202.187
25,2,"14DS",1,199,200.895
28,2,"14DS",14,197,191.033
34,2,"14DS",95,214.3,213.104
41,2,"14DS",30,204.7,207.776
42,2,"14DS",177,207.7,208.148
47,2,"14DS",55,216,208.158
50,2,"14DS",125,190.3,189.942
54,2,"14DS",172,215,202.696
56,2,"14DS",48,201,195.429
60,2,"14DS",131,181.7,190.609
62,2,"14DS",17,196.7,207.997
65,2,"14DS",121,132.7,118.62
66,2,"14DS",4,201.7,203.914
69,2,"14DS",138,184.3,192.268
72,2,"14DS",136,201.3,196.977
73,2,"14DS",11,198.7,197.911
77,2,"14DS",123,97.7,110.33
85,2,"14DS",61,212,211.048
86,2,"14DS",173,206,202.819
89,2,"14DS",143,198.3,192.894
91,2,"14DS",2,198.3,198.763
104,2,"14WW",24,199.7,197.239
112,2,"14WW",18,214,189.193
115,2,"14WW",25,200.3,195.767
