"testing","fold","env","individual","observed","predicted"
1,1,"14DS",29,214.3,174.349
13,1,"14DS",52,224,197.734
15,1,"14DS",85,204,206.225
18,1,"14DS",57,190.7,204.41
19,1,"14DS",64,199,184.217
26,1,"14DS",42,200.7,213.489
29,1,"14DS",28,210.3,204.727
39,1,"14DS",10,177,205.235
40,1,"14DS",68,199,202.081
42,1,"14DS",177,207.7,196.131
58,1,"14DS",3,197.3,194.993
64,1,"14DS",97,202,205.767
66,1,"14DS",4,201.7,189.902
69,1,"14DS",138,184.3,199.661
71,1,"14DS",82,208.7,207.885
79,1,"14DS",20,199.7,203.574
84,1,"14DS",159,198.3,198.443
86,1,"14DS",173,206,202.164
87,1,"14DS",47,208.3,203.865
92,1,"14DS",135,196.3,193.146
108,1,"14WW",138,190,187.755
109,1,"14WW",20,189.3,191.951
121,1,"14WW",28,193.3,191.055
123,1,"14WW",10,174.3,193.645
130,1,"14WW",173,196,190.147
135,1,"14WW",29,208.7,159.956
138,1,"14WW",68,204,190.346
139,1,"14WW",4,182.7,177.141
143,1,"14WW",42,201.7,203.781
147,1,"14WW",177,193.3,183.115
151,1,"14WW",82,198.3,196.913
155,1,"14WW",135,177.7,180.772
157,1,"14WW",52,219.3,187.323
161,1,"14WW",57,200,194.398
162,1,"14WW",85,189.3,194.222
163,1,"14WW",3,186.7,184.293
168,1,"14WW",64,202.7,170.76
170,1,"14WW",47,193.3,191.693
178,1,"14WW",97,186,195.697
189,1,"14WW",159,200,185.725
195,1,"16DS",173,173.67,179.91
196,1,"16DS",29,184,145.812
197,1,"16DS",159,187.33,179.613
198,1,"16DS",85,177.67,185.265
213,1,"16DS",64,188.67,160.974
222,1,"16DS",68,198,179.159
223,1,"16DS",28,185.67,182.585
229,1,"16DS",138,160,177.062
232,1,"16DS",4,180.67,165.447
239,1,"16DS",10,168.67,185.723
244,1,"16DS",177,193.67,169.417
245,1,"16DS",47,202.33,183.696
254,1,"16DS",3,186,172.263
260,1,"16DS",82,199.67,187.908
265,1,"16DS",135,179.67,163.657
268,1,"16DS",20,181,184.931
277,1,"16DS",52,190,175.567
281,1,"16DS",42,186,188.369
282,1,"16DS",97,196.67,181.682
287,1,"16DS",57,183,186.532
296,1,"16WW",29,220,162.993
298,1,"16WW",159,196,189.8
306,1,"16WW",82,182,200.225
307,1,"16WW",85,159.67,195.416
318,1,"16WW",4,208.67,182.576
319,1,"16WW",138,182.67,191.869
324,1,"16WW",47,202,193.373
329,1,"16WW",42,188.33,202.812
331,1,"16WW",135,193,183.37
334,1,"16WW",97,204.33,197.31
335,1,"16WW",64,201,172.675
347,1,"16WW",57,180,195.529
351,1,"16WW",3,161.67,188.277
352,1,"16WW",10,161.67,198.357
363,1,"16WW",177,195,184.858
364,1,"16WW",28,204.33,196.842
367,1,"16WW",52,202.67,187.864
369,1,"16WW",68,201.33,195.048
375,1,"16WW",173,197,195.267
377,1,"16WW",20,183.33,196.166
12,2,"14DS",33,228.3,205.359
20,2,"14DS",25,202.7,204.39
22,2,"14DS",112,197,196.028
28,2,"14DS",14,197,207.654
30,2,"14DS",5,192.3,191.763
32,2,"14DS",158,211.7,200.553
33,2,"14DS",90,193,198.631
37,2,"14DS",16,220,212.347
44,2,"14DS",8,205.7,200.282
45,2,"14DS",65,203.7,207.361
46,2,"14DS",60,204.7,195.901
50,2,"14DS",125,190.3,189.889
61,2,"14DS",19,202.3,203.785
68,2,"14DS",9,197.3,201.353
73,2,"14DS",11,198.7,196.181
77,2,"14DS",123,97.7,204.581
80,2,"14DS",58,211.3,205.382
83,2,"14DS",141,202.3,201.123
90,2,"14DS",35,202.7,203.391
93,2,"14DS",81,215.3,198.17
101,2,"14WW",60,193,191.125
102,2,"14WW",125,183,182.902
113,2,"14WW",158,220,188.547
114,2,"14WW",16,218.3,203.853
115,2,"14WW",25,200.3,192.699
133,2,"14WW",9,183.7,190.624
137,2,"14WW",81,203.7,185.813
140,2,"14WW",11,180,185.503
142,2,"14WW",5,178,184.848
150,2,"14WW",14,187.3,198.112
156,2,"14WW",33,204,192.231
158,2,"14WW",112,192.3,189.558
159,2,"14WW",8,188,189.553
160,2,"14WW",35,199.7,195.245
166,2,"14WW",65,189,198.314
173,2,"14WW",19,182,197.084
181,2,"14WW",90,172.7,189.682
