GID,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96
1,1.018698399905174,-0.21835030987586596,-0.33681918959456586,0.05585648665304088,0.31714032265749936,-0.07525024851956329,0.3320391757721978,0.2716342702470268,0.07431017793746832,0.34346878528226765,-0.056539172360971904,-0.1978006298561359,0.16687279482220244,0.08183187354949764,0.13544811373889054,0.012808615904739137,-0.07923518090166033,-0.2725076491390874,0.10456738855221553,-0.06434286483427004,-0.21720131799024492,-0.02314728091299998,-0.20501392764094414,-0.1964141975906856,-0.16102766814380165,0.08356049461803686,-0.0667640679660332,0.06799802593772328,0.00283600349488345,0.1452625102525847,0.015867018776531988,0.045438694597852235,-0.11853167103525454,0.07356793009905721,-0.09439172583883207,0.16420028962406535,0.09588259157966379,-0.15170483260865247,0.1462365007930147,-0.11335206233804775,-0.048609867985889316,-0.19251134909155845,-0.06223608671112078,0.12875417161776306,-0.05333206113769786,-0.042112571088854904,-0.07999417412383956,-0.27819967222304487,-0.360591448566001,0.1906776550580774,-0.08669216659621165,0.01966044926181427,0.32985487201996944,-0.22709251888560417,0.14299313959924648,-0.02917856402332694,0.28462566927330424,0.12043059068440301,-0.11802854314202203,-0.025349435993133166,0.11942640605165689,-0.14307265183679546,-0.023123734595317223,-0.0854118148706701,-0.11514941671066853,-0.2396299787196176,-0.08852561550905182,-0.004212894137308658,-0.009172267467283972,0.21567167949610208,0.1846402824838022,0.01718613527831612,-0.15956809206130348,0.09481341558804265,-0.2059047874935726,0.2508522494170333,0.17161915927937835,0.20610711146712668,-0.003205203967136361,0.26508830219415774,0.07229111140732261,-0.21692297176513178,-0.061563527381906895,-0.06813164752956918,0.0820125836463508,-0.12266095712277349,-0.01994751522536112,-0.049236448256010375,-0.24893876638121507,0.3371741192439555,-0.20320670522710926,-0.07198331509716502,-0.051892737657688676,-0.3946266337028665,-0.19473077721736687,0.043735348785356225
2,-0.21835030987586596,1.0246093843143718,0.12093303229800936,-0.052424722585487214,-0.12466514988746101,-0.04241557758961826,-0.10274966625084683,-0.0747880609054529,-0.019689291696092796,-0.1596267611607872,-0.32725826717281886,0.2349218317055365,0.11757222274945117,-0.08854004031523038,-0.24047150343245638,-0.10914005311726163,0.10016199364802017,-0.02553768494469482,0.32313101881535794,0.40345206531080513,0.06564004451396713,0.1601266714843851,0.08668688218393171,0.09643865686661535,-0.21938707880453148,-0.039421942132398254,0.06926149014369438,-0.2234066711422926,-0.1617880503793439,-0.12045962167989391,0.05407995070683879,0.06973726130971886,-0.11064972111236275,0.2793733358805026,0.125073104277872,-0.043682349873253354,0.2141782746488854,-0.029131216251647434,0.05761309750020321,-0.23483105237900156,6.472238223107602e-4,-0.021756440901357935,0.10389304553506878,-0.3101473481991151,0.14511010682939213,0.1250181679730045,-0.24934798017803017,0.11974746565243617,0.4692201260925871,-0.35080954284430627,0.04466467077617705,-0.16578334197576985,-0.022621773092967014,0.1880309098916039,0.1741182746348472,0.03749744498431328,-0.022899772544150383,0.04776034114060172,0.24205535931255462,0.1511901498652695,-0.37722427295744315,-0.028426110716159053,0.03698644337611712,0.047054218874507676,-0.05846479476802425,0.06491088376574679,0.0030604879092157723,-0.036242459034249025,-0.14398635953114497,0.07042590904611702,-0.36942729448616024,0.014527539888979842,0.33534627059280375,0.14990856834969726,-0.2530617514924147,-0.18412881817531118,0.003326065615545044,-0.17743141112587102,0.18475356904272466,0.08819245875788682,-0.31942342985879263,-0.13938200141734902,0.08929262278007327,-0.044979668450754295,-0.156673367239663,0.08742319668310852,-0.18339279404277475,-0.07818179304767038,0.007585642195329526,0.01801594194285347,0.09716502106573398,-0.12536583309981555,-0.20257502767416927,0.0702382601448906,-0.11289166305995804,0.08288313770256017
3,-0.33681918959456586,0.12093303229800936,1.0639327234599236,-0.1609219969329148,0.06347380162373302,0.02442013142765865,-0.07773586904880818,-0.07326208886409977,-0.006155819185636845,0.04421745625593423,0.07821258750315974,0.1264504335425865,0.11533292269350054,-0.1364005628732414,-0.3180644630285923,-0.22278483716795494,0.037003971382708646,0.17619354064765683,-0.26120322416962566,0.14820639356644183,0.1437996267423538,-0.14589693184186667,0.040188701294156276,-0.04232799967129348,-0.054044718371727675,-0.09465025301413711,-0.0011504156094373243,0.05334668988920056,0.07799357990459249,-0.11205003110030967,0.16655013801922963,0.13361082954025455,-0.04965868949070153,-0.20643788651570133,-0.028167050874722935,-0.0635871023491381,-0.02292969934191496,-0.05196090747428131,-0.4217993226222857,0.16117774108333144,0.02337282746864017,-0.02807275770092719,-0.3193032757559792,-0.37614935941065825,-0.17561724556593178,-0.25271046302099753,0.06949772790600638,0.3556075860725597,0.1637493060577506,-0.09721462423318188,-0.06488673140102072,0.07290728732382644,-0.40107638240150495,0.07239279021849455,0.11133786243808542,-0.11026746990036868,-0.20417603914518076,-0.019605304724296915,0.0010964335299199419,-0.01796644305302521,-0.03752323060694415,0.32684248153658463,0.04598157194879672,0.12146205431301614,0.2509532928510437,0.11546141843895343,0.04064853375820759,0.14796742830172233,-0.10461805871603917,-0.07548888776501478,-0.04323497308306872,0.009522050433558613,-0.20273997872013913,-0.01233250513371872,0.01615485884855447,-0.09289579220315303,0.10248736757290626,0.1591637471544616,0.030902864858851454,-0.16471357976045134,-0.010513939921799421,-0.07501857240367113,0.1995554110623926,0.029182570656376763,0.0807868246964281,0.10120975189886666,0.19525591247712937,-0.06722750401842206,0.10248328006663589,-0.25004855789360203,0.16165214669876332,-0.06669506598664456,-0.014744209296300135,0.11793045328865585,0.1926540802505901,-0.020414212037207214
4,0.05585648665304088,-0.052424722585487214,-0.1609219969329148,0.9791418170686169,-0.10851404101184271,-0.04349585087719763,0.07636815297351542,0.035892710359520574,-0.061661915875392215,0.0905384097223897,0.06771268814129067,0.07665019395157772,0.1409179768924449,0.07583814678373384,0.1762995443780497,-0.013018932561624126,-0.12161777634722255,-0.2226708796886599,-0.013737533435333339,0.11959032552529779,0.02104761173974981,-0.09934514102550589,-0.018743484089874852,0.14662620746559313,0.041458978983257025,-0.1419046159522,0.21314294729646854,0.25047818438440567,-0.17617116402021962,0.09036277862493862,-0.12387873685314954,-0.04891175784169007,-0.007870021681894787,0.14982768989124076,0.030528346238721266,-0.08631717132960334,-0.31158232833819677,-0.16564861942490883,0.10977401710862733,0.08309847742957406,-0.2784377209977053,0.15472015019856777,-0.014764181368916466,0.08108814165282839,0.17591493070002434,-0.14862613600133623,-0.18844336601448752,-0.0411854056448168,-0.0685584570153865,-0.20623317914765385,-0.0025338449831998735,-0.15138750080061963,0.2434194544264186,-0.12024516383203687,-0.022198492304255746,0.0687605314244117,0.016285892573212814,-0.0163030538489529,0.021207646114552146,-0.07656200851613146,-0.058024581097681494,0.15717616929421457,0.22661156500087565,0.029070759577077693,0.2057149125758385,-0.13283243902798128,-0.11952786055374559,0.3216385326798934,-0.05937676519171364,-1.3056301816300074e-4,-0.2790237955480617,0.10796019697165209,0.05275562561028047,0.15371881662684667,-0.19007069943643698,-0.013808345344223191,0.1085866748884404,-0.23455881848828294,0.18696103769832612,0.0766142234155716,-0.12512517456357358,-0.07306928658719539,-0.00994661065143488,-0.15844927750085377,0.04723748459317187,-0.005002969483612366,-0.2160870284989998,-0.03099718462925611,-0.10151563599572881,-0.10791915181073877,-0.009271462219625794,-0.21942269219091826,-0.07261263631514682,-0.12284105187751884,0.06866197759524505,0.11827281514981063
5,0.31714032265749936,-0.12466514988746101,0.06347380162373302,-0.10851404101184271,1.051593331747306,-0.09728332092550324,0.16050753717880548,0.0691587135514924,-0.1765409867449353,0.17673846034323418,-0.04528667050719025,-0.13852504428103973,-0.043766105561222304,0.18578917335724335,-0.18309424378707193,0.032706216647977106,0.20651604124548342,-0.06388688798582837,0.13861022580896973,-0.06971295702834127,-0.23761437925037057,0.1404865904400571,-0.04714914101818984,-0.1261545258564794,-0.1250686130061247,0.05095299834869413,0.038391895682613475,-0.13582609404951085,-0.12262915278122523,0.10219636750183016,0.25039992350433476,0.20657692033597042,0.0068716426339771,-0.02443718764932801,-0.2685697646097203,0.05163338325409401,0.1450351102325522,0.16261806361731915,-0.14796654858867922,0.04196751461803236,0.17688624617008722,-0.3868256309285075,-0.19296152790485074,-0.09852739509413731,-0.06754936537586578,-0.3366667975500479,0.2909910341135,-0.23528118208641782,-0.29409279999322585,-0.013980547479578213,0.014370385490546032,0.1887269561137381,0.13059827632635887,-0.18010995565301705,-0.041615978324489544,-0.16301245294351413,0.09057471966161136,0.26683685143145397,-0.27298054730548316,-0.38528311859343206,0.08320443991048179,0.19096435794843733,0.018912211446117395,0.14880867027176123,0.024595163555604635,-0.17627130660480655,-0.2997646272556099,0.16510079288501459,-0.18765811629555704,0.049440629709402724,0.022703431467444406,-0.2703167157905011,-0.28790321539789615,0.07273382490108557,-0.03378027754955986,0.24826164217323685,0.42091194895079587,0.3973725699872921,0.07541893987929198,0.03965898666285989,0.0217627017206225,0.01978539142355911,-0.18180346052014895,-0.21512664728888564,0.2839045088468059,-0.003707321178622982,0.004416802613864835,-0.3291440055549583,0.09166506889715165,0.03651779977308759,-0.030391574965821636,-0.10090873073844657,-0.09867483591265781,0.03308346599565561,0.13083720834625487,-0.16738031218823785
6,-0.07525024851956329,-0.04241557758961826,0.02442013142765865,-0.04349585087719763,-0.09728332092550324,1.0107866772469307,-0.1383410785406843,-0.11315952081269619,0.03886605447942327,-0.05596679697091657,-0.13866930277832215,-0.08687011290587195,-0.12355586796860718,-0.06958889183132662,-3.1717809892777156e-4,-0.05129470665601681,0.14768265644313694,0.05974946929338501,-0.13376577374389578,-0.026963246600324932,-0.10664735674666852,-0.09919442309665183,0.2228629383510051,-0.16829749793776808,0.26649913832167793,0.11452665540370466,0.15292601935326958,-0.15593673635477076,0.12476668299240112,-0.10770555490777646,0.2565992285678581,-0.18497451078871424,-0.2343486233171278,0.07268355085506376,0.26769037148604063,-0.31769477416592345,-0.030196463027666945,0.010854027467239288,0.20137299726236824,-0.10069031286705346,-0.014246080007564678,0.10256217071496519,0.038823842394005645,-0.21497027705358948,-0.08883321952036315,0.25816130684941213,0.05345502910118034,0.08768929349285842,-0.09057485425847751,0.1677998132988467,0.1411304200226961,-0.35847826675151695,0.08864640551057594,-0.09155526442432842,-0.22753643524965403,-0.10775928700522606,-0.05271799777003207,-0.018645682756286298,0.12573913237801473,0.2035891428013991,0.05627114917257,0.035687083561395605,-0.13472695729616635,-0.20820913565789467,-0.24990677955723525,0.13439256745755337,-0.15256740163082713,0.023032073232124504,-0.03975638320654063,0.31847595783558463,0.1787929092010368,0.10236515807236789,-0.17634819643320457,-0.21792204246666172,0.18100942736262954,-0.4342586351206208,-0.11249989921951575,-0.08440797328354747,-0.1877865412218145,0.10967939099776428,0.14662000803252048,-0.1849140829783354,-0.11250475868515876,-0.3075030781004126,0.051098541524612594,0.10088613824265762,0.17482718702535635,0.2718510104790363,0.14526281645224273,-0.15621620748741755,0.34228827309746146,0.06707827195075773,0.04356391983925016,0.00717424028738799,-0.0278577203409384,0.025087606173499883
8,0.3320391757721978,-0.10274966625084683,-0.07773586904880818,0.07636815297351542,0.16050753717880548,-0.1383410785406843,1.0400895769954586,0.9574997932212116,-0.1535037904302587,0.3527980401707125,-0.09574574960756584,-0.1211071355192863,-0.10796339726673913,0.16089630890365839,0.14267491100455454,0.010715999245407367,-0.0797799685443669,-0.0759473810243218,0.057558768175952235,-0.08110091477755159,-0.4483251534226385,0.10858951641314746,-0.17401099883476165,-0.12647964184429614,0.19991857419194928,0.11887139869236704,0.016707258847810318,0.048257836996559,-0.08797538101450925,0.0065391989669348885,-0.07666177684917726,0.15391397803956022,0.018620350598387195,-0.08258941738288475,-0.26007686543961384,0.10267797466017299,0.04142471624829059,-0.10863653707953852,-0.09999641480026286,0.002113745975587951,-0.24547546985661448,-0.2641507395939626,-0.022658968867176374,0.0795612496898397,0.043453494133188976,-0.0767387340170092,-0.08775203061794119,-0.36448455429175025,-0.15913690126776786,0.03761301327250787,-0.10420394110251617,0.016904250562466864,0.19788029503554197,-0.19259503252427343,-0.08263658762898803,-0.19673186319566324,0.036454549006157445,0.36059624559638526,-0.2066421887330435,-0.055849431382380924,-0.03629559745514697,-0.028557380892493867,0.31258901640214914,-0.1663792305261844,0.21324628616211333,-0.16301081416458005,-0.31051279475180404,0.20270246522614438,-0.11330694085128488,-0.027237675763871236,-0.059269957404734036,0.054888391298618576,-0.17053033833289685,0.2682774087844565,-0.18145743254617028,-0.05235040282300568,0.26872259157397677,0.08604914247250167,-0.09921620857040621,0.016181120753841965,-0.13567093493804605,0.005290590121991849,0.20618295601947279,-0.020497583122402525,-0.045042423458576904,-0.44584310953792883,0.023856478357006168,-0.03773662729680005,-0.09631166086178201,0.26768127084471577,0.11938136179138388,-0.2046561421033543,0.07129321020697568,0.10921232216506621,-0.14007012743170769,-0.015063559158363922
9,0.2716342702470268,-0.0747880609054529,-0.07326208886409977,0.035892710359520574,0.0691587135514924,-0.11315952081269619,0.9574997932212116,1.0681547542843401,-0.10572639451194524,0.3084211342669531,-0.11124065202745614,-0.0761645118820359,-0.1841906323365641,0.19597010422459832,0.08794651382002518,-0.05139780191579347,-0.15978949080780938,-0.05623512405648897,0.1135596627817786,-0.05868251523942726,-0.515450881652647,0.1632085182745081,-0.1630440200279568,-0.15039383058351866,0.14947327290971263,0.15077425867734207,-0.05011935632690791,-0.0224935657132932,-0.022014833287212682,-0.05177648272962921,-0.049155526313329194,0.1654259667172185,-0.06083020871023855,-0.02878824409527526,-0.2777212389005276,0.1743980673100707,0.06808610153407077,-0.1935071941298526,-0.04252291339535109,0.029136728568077436,-0.18353277316254757,-0.24391296208655094,-0.03436943695013871,0.006505784532706619,0.0063946034111916645,-0.03891230323525948,-0.035884780013371045,-0.36343657045793293,-0.10831052430936243,0.03255088348252291,-0.057610060368211286,0.05364122702840159,0.10805034320112622,-0.16436355007223372,-0.037073035698648595,-0.2908769272171954,0.10117145780946793,0.3722551615134739,-0.17785595988734304,-0.003342174047787294,0.02162854063601462,-0.09212942957384061,0.37115428524748834,-0.1392153910154777,0.262204212913749,-0.13008303357720652,-0.26584844123246865,0.23592768817605464,-0.1584341673199776,0.022761355063640364,-0.06875837358561523,0.11983611814218334,-0.2249281598672187,0.27805135777518825,-0.15248554104329665,-0.08901893257069993,0.23333828030838147,0.03434461344675788,-0.13657868654877803,-0.07234978042559134,-0.07119164812936471,0.0052864990423995995,0.25438237488098886,0.034797345293606834,-0.01179406533437969,-0.4866502632273219,-0.045408957675854955,-0.027493311662460235,-0.17423328296217785,0.27539107091014803,0.07742374214373363,-0.16373844274174115,0.12448398492055832,0.15203163252224955,-0.1411018409006384,-0.10897523702377504
10,0.07431017793746832,-0.019689291696092796,-0.006155819185636845,-0.061661915875392215,-0.1765409867449353,0.03886605447942327,-0.1535037904302587,-0.10572639451194524,1.018024206955012,-0.11073283480949123,0.17410910048805928,-0.08769331699159229,0.07745173478240634,-0.20007600595304673,-0.11995533960021279,-0.11397324894010791,0.020910058868333987,0.19979981366376764,-0.05292857571921815,-0.023764484540862447,0.15898608495331787,-0.14937794971517893,0.15643908332939901,0.0067889845345779935,0.017268117581446824,-0.2394510170836374,-0.17630812798056966,-0.11948493672284619,-0.09035454993822674,0.05193181910811022,-0.26518170077559833,-0.264757947511473,-0.11444575748758902,-0.08963558567594938,0.10625243861500965,0.06591100631480604,-0.07346169937707392,-0.1342719960879425,0.1320794044430835,-0.30258069079484123,0.0016278181150297596,0.10376832111188035,-0.14902919394840874,0.09906071922704662,0.040108804561324304,0.11870590594534741,-0.04225221607501939,0.13024120850402923,0.07710413841002314,0.1854369292849269,-0.04632125869335021,0.006309879240768539,-0.11641833923376797,0.14943075378072146,-0.13197795688853114,0.11026751728212698,0.13241013682641523,-0.14549054611222434,0.024795897146370594,0.19591433476269984,0.028061133121516264,-0.11830339553851497,-0.2886312904447349,0.07960845140546574,0.009817776349521525,-0.19057379796281373,0.168860800182929,-0.10596619201166896,0.25330642588011026,-0.016570068786628867,0.1911738461340017,-0.07161652901414484,-0.036178432971430696,-0.05343564127125802,0.31252441668343484,0.02498745236780568,-0.14881384655603155,0.1746425708824222,-0.21886951759687248,0.08536829811081945,0.12667819204621025,-0.08528661964868285,-0.11434747278519684,0.1712137304051204,0.08365159475720929,0.0849352088956925,0.18243438960387526,0.1541644656913288,0.10962096717210211,-0.09146968179489871,-0.11644528468093195,0.08144591203147881,-0.07462772325425704,-0.3082133122210529,-0.06507901154902015,-0.00917478878481194
11,0.34346878528226765,-0.1596267611607872,0.04421745625593423,0.0905384097223897,0.17673846034323418,-0.05596679697091657,0.3527980401707125,0.3084211342669531,-0.11073283480949123,1.069609183526639,-0.14167343051938636,-0.056570321971853105,0.19839572069248151,-0.0640033333923519,0.13950999030758507,0.08398500735753195,-0.1355554193878931,-0.2144732521235246,0.08197271068635227,-0.1716057762635966,-0.07123829045749781,0.0947635712890732,-0.3125967400731577,-0.15574072136981815,0.03740515966834554,0.12479251111760928,0.02027790755448976,0.18437076231391186,0.1698905975830686,-0.15356015257715946,0.07680730099245268,0.3073870955620196,-0.05647095592397789,-0.21453150596347142,-0.06250563919037214,-0.05199930080061809,-0.030196321250320256,-0.40528314707841134,-0.18297981034032312,0.0020747507743934276,-0.24180817784359124,-0.16690775717917297,-0.01767738683274515,0.20722523197334974,-0.012599730077066563,-0.14654543849211074,0.01153665695220676,-0.08968046540905725,-0.19268268503358021,0.05364196662044144,-0.09703632275360362,0.1343391222793359,0.2915089713165674,-0.1982819175424003,0.06796720383178265,-0.08744120156032181,0.10567979912864275,0.22224784795216299,-0.17016882935490366,0.003889671161270464,0.167393612168311,0.10019085660257632,0.08407261680378757,-0.21408822351646264,0.12205744126249084,0.031992731015678115,-0.22036400474580356,-0.029877357586579657,-0.2659038518427577,0.21861152106007778,0.09288369092487153,-0.11154503522291166,-0.1187020551495219,0.0736593598118798,-0.3044724060816751,0.0712949894612594,0.1958916379240723,-0.26646548818720234,0.1987634693347474,0.259267848641273,-0.04821192932395545,-0.37226078076013175,-0.0726005806174249,-0.18042918728344987,-0.13845264633914484,-0.303526157486608,-0.24674129745483392,0.1065851167973312,-0.28385537103694247,0.4856748532169517,0.2223884185034016,-0.1410781914080193,0.18113860782510557,-0.22332552957119048,3.352653944379047e-7,0.15271238401568624
