"testing","fold","env","individual","observed","predicted"
3,1,"14DS",93,203.3,208.393
13,1,"14DS",52,224,215.607
18,1,"14DS",57,190.7,196.374
39,1,"14DS",10,177,173.647
53,1,"14DS",92,199,208.676
61,1,"14DS",19,202.3,198.907
64,1,"14DS",97,202,186.941
66,1,"14DS",4,201.7,195.091
75,1,"14DS",94,197.3,198.302
78,1,"14DS",27,209.3,188.511
87,1,"14DS",47,208.3,211.882
95,1,"14DS",36,205.3,206.319
98,1,"14WW",38,179.7,191.726
101,1,"14WW",60,193,191.606
103,1,"14WW",83,199,183.074
104,1,"14WW",24,199.7,191.957
113,1,"14WW",158,220,198.652
115,1,"14WW",25,200.3,197.451
127,1,"14WW",61,206.7,199.57
128,1,"14WW",1,188.7,188.297
129,1,"14WW",142,195,192.378
131,1,"14WW",15,179.3,183.141
135,1,"14WW",29,208.7,196.856
136,1,"14WW",161,197,194.755
141,1,"14WW",121,101.3,169.131
145,1,"14WW",156,200.7,188.371
147,1,"14WW",177,193.3,193.134
148,1,"14WW",54,211.3,202.642
150,1,"14WW",14,187.3,193.223
166,1,"14WW",65,189,193.301
177,1,"14WW",40,202.3,193.316
183,1,"14WW",87,199.3,196.324
186,1,"14WW",53,200.3,199.175
192,1,"14WW",123,89.7,166.151
194,1,"16DS",143,167,179.927
200,1,"16DS",75,172.33,187.132
210,1,"16DS",72,182.33,193.729
217,1,"16DS",141,188.67,187.964
218,1,"16DS",17,198.67,172.5
224,1,"16DS",18,166,199.54
228,1,"16DS",26,188.33,186.68
233,1,"16DS",145,178.33,151.325
253,1,"16DS",95,187,177.673
254,1,"16DS",3,186,164.382
257,1,"16DS",67,191.33,187.51
264,1,"16DS",76,187,189.554
266,1,"16DS",70,184,176.704
271,1,"16DS",78,169.33,179.473
276,1,"16DS",13,169.67,163.501
279,1,"16DS",16,182.67,181.203
283,1,"16DS",106,196.67,176.955
290,1,"16WW",69,204,197.217
300,1,"16WW",125,186,190.048
307,1,"16WW",85,159.67,169.475
312,1,"16WW",136,191,186.82
316,1,"16WW",37,199,195.781
319,1,"16WW",138,182.67,192.975
322,1,"16WW",30,198.33,188.225
329,1,"16WW",42,188.33,199.374
330,1,"16WW",114,210.33,206.338
331,1,"16WW",135,193,192.273
335,1,"16WW",64,201,201.356
339,1,"16WW",6,186.67,193.086
341,1,"16WW",165,193.33,189.516
348,1,"16WW",48,179.67,180.184
350,1,"16WW",33,163.67,177.15
357,1,"16WW",9,200.33,176.169
359,1,"16WW",107,186,183.023
364,1,"16WW",28,204.33,199.911
365,1,"16WW",81,205,213.617
376,1,"16WW",112,189.33,198.63
377,1,"16WW",20,183.33,192.607
384,1,"16WW",8,187.67,182.396
9,2,"14DS",40,202.3,209.23
12,2,"14DS",33,228.3,200.552
19,2,"14DS",64,199,201.519
28,2,"14DS",14,197,194.21
32,2,"14DS",158,211.7,213.535
45,2,"14DS",65,203.7,207.31
48,2,"14DS",133,206.7,205.996
49,2,"14DS",114,209,223.804
55,2,"14DS",156,200.3,195.199
62,2,"14DS",17,196.7,204.549
65,2,"14DS",121,132.7,146.07
70,2,"14DS",161,214,212.042
71,2,"14DS",82,208.7,205.353
73,2,"14DS",11,198.7,197.288
76,2,"14DS",145,205.7,194.612
83,2,"14DS",141,202.3,206.543
92,2,"14DS",135,196.3,201.418
93,2,"14DS",81,215.3,218.074
94,2,"14DS",37,205.7,207.298
99,2,"14WW",55,193.3,189.32
105,2,"14WW",106,203.7,200.809
106,2,"14WW",172,198,195.4
114,2,"14WW",16,218.3,199.412
117,2,"14WW",136,177.7,195.266
118,2,"14WW",6,184,193.823
120,2,"14WW",72,205,200.268
122,2,"14WW",27,192.7,200.019
133,2,"14WW",9,183.7,196.322
152,2,"14WW",148,166.3,195.332
153,2,"14WW",13,172.3,188.751
161,2,"14WW",57,200,194.87
162,2,"14WW",85,189.3,189.685
163,2,"14WW",3,186.7,198.229
164,2,"14WW",128,193.7,195.107
