"testing","fold","env","individual","observed","predicted"
1,1,"14DS",29,214.3,181.369
7,1,"14DS",106,200,201.481
11,1,"14DS",142,209,216.838
16,1,"14DS",26,218.7,194.476
18,1,"14DS",57,190.7,206.483
23,1,"14DS",77,202.3,218.471
27,1,"14DS",13,197.3,193.178
40,1,"14DS",68,199,202.596
43,1,"14DS",6,191,214.395
45,1,"14DS",65,203.7,214.896
51,1,"14DS",76,202,197.654
52,1,"14DS",38,203,211.493
54,1,"14DS",172,215,212.959
56,1,"14DS",48,201,180.182
59,1,"14DS",69,215,216.309
61,1,"14DS",19,202.3,195.062
62,1,"14DS",17,196.7,190.925
67,1,"14DS",83,213,196.657
89,1,"14DS",143,198.3,206.773
91,1,"14DS",2,198.3,174.067
98,1,"14WW",38,179.7,197.058
103,1,"14WW",83,199,180.556
105,1,"14WW",106,203.7,191.092
106,1,"14WW",172,198,203.912
111,1,"14WW",76,203.7,188.351
118,1,"14WW",6,184,205
129,1,"14WW",142,195,200.682
135,1,"14WW",29,208.7,174.415
138,1,"14WW",68,204,192.626
153,1,"14WW",13,172.3,181.764
154,1,"14WW",26,190,185.657
161,1,"14WW",57,200,201.481
165,1,"14WW",48,189.3,170.034
166,1,"14WW",65,189,203.417
171,1,"14WW",2,181.3,158.559
173,1,"14WW",19,182,180.967
174,1,"14WW",143,188,194.49
179,1,"14WW",77,177,196.654
187,1,"14WW",69,207.3,206.69
191,1,"14WW",17,181,175.82
194,1,"16DS",143,167,182.45
196,1,"16DS",29,184,161.662
206,1,"16DS",172,185,196.534
211,1,"16DS",69,181.67,203.831
212,1,"16DS",2,190,157.181
218,1,"16DS",17,198.67,165.776
221,1,"16DS",19,185.33,163.135
222,1,"16DS",68,198,187.452
228,1,"16DS",26,188.33,176.004
251,1,"16DS",83,189,180.329
252,1,"16DS",48,183.67,155.671
262,1,"16DS",38,188.67,198.105
264,1,"16DS",76,187,180.062
267,1,"16DS",65,190.33,203.394
270,1,"16DS",77,163,195.38
276,1,"16DS",13,169.67,162.051
280,1,"16DS",142,181.33,197.331
283,1,"16DS",106,196.67,176.472
286,1,"16DS",6,176,204.472
287,1,"16DS",57,183,195.29
290,1,"16WW",69,204,203.714
291,1,"16WW",17,203.33,179.171
296,1,"16WW",29,220,178.969
301,1,"16WW",2,187,160.388
302,1,"16WW",106,206.67,188.697
308,1,"16WW",142,159.67,198.429
339,1,"16WW",6,186.67,204.739
345,1,"16WW",83,190,187.8
347,1,"16WW",57,180,199.713
348,1,"16WW",48,179.67,165.968
353,1,"16WW",172,185,205.375
354,1,"16WW",143,186.33,191.255
360,1,"16WW",65,196,204.175
361,1,"16WW",38,189.33,197.861
369,1,"16WW",68,201.33,200.305
371,1,"16WW",76,197.33,187.275
378,1,"16WW",77,178,204.769
379,1,"16WW",19,190,188.863
382,1,"16WW",13,196,179.432
383,1,"16WW",26,204.67,184.681
4,2,"14DS",107,205.7,206.711
9,2,"14DS",40,202.3,197.47
10,2,"14DS",139,214.7,201.395
13,2,"14DS",52,224,198.562
15,2,"14DS",85,204,203.865
28,2,"14DS",14,197,194.908
41,2,"14DS",30,204.7,196.605
44,2,"14DS",8,205.7,198.841
49,2,"14DS",114,209,210.516
55,2,"14DS",156,200.3,194.067
60,2,"14DS",131,181.7,198.791
63,2,"14DS",75,185.7,210.908
76,2,"14DS",145,205.7,204.389
77,2,"14DS",123,97.7,184.275
80,2,"14DS",58,211.3,208.104
81,2,"14DS",165,204,201.35
82,2,"14DS",154,201.3,195.227
87,2,"14DS",47,208.3,200.336
88,2,"14DS",89,220,209.957
96,2,"14DS",78,191.3,194.86
97,2,"14WW",139,208.3,180.763
110,2,"14WW",114,213.7,194.557
124,2,"14WW",145,201,207.338
125,2,"14WW",131,181.7,185.595
132,2,"14WW",89,196.3,191.846
144,2,"14WW",154,186.3,187.906
145,2,"14WW",156,200.7,188.836
146,2,"14WW",30,196.7,188.261
150,2,"14WW",14,187.3,186.567
157,2,"14WW",52,219.3,188.361
159,2,"14WW",8,188,191.727
162,2,"14WW",85,189.3,198.598
170,2,"14WW",47,193.3,189.189
176,2,"14WW",165,187.7,188.382
177,2,"14WW",40,202.3,185.211
180,2,"14WW",107,191.3,191.666
184,2,"14WW",58,196,197.05
188,2,"14WW",75,186,206.078
190,2,"14WW",78,192.7,193.605
192,2,"14WW",123,89.7,183.662
198,2,"16DS",85,177.67,189.312
200,2,"16DS",75,172.33,195.336
201,2,"16DS",58,190.33,178.322
202,2,"16DS",123,0,167.762
205,2,"16DS",89,195.67,185.911
207,2,"16DS",107,186.33,187.018
216,2,"16DS",154,186.33,181.275
219,2,"16DS",139,193.33,187.4
220,2,"16DS",30,188,174.151
233,2,"16DS",145,178.33,184.501
235,2,"16DS",14,160,171.964
237,2,"16DS",131,164.33,167.47
245,2,"16DS",47,202.33,180.65
246,2,"16DS",156,187.33,182.395
256,2,"16DS",114,192,179.97
271,2,"16DS",78,169.33,179.029
272,2,"16DS",165,144.67,177.603
273,2,"16DS",40,161.67,150.52
277,2,"16DS",52,190,181.926
284,2,"16DS",8,195.67,181.828
289,2,"16WW",75,177,202.473
292,2,"16WW",40,210.33,193.694
294,2,"16WW",145,214,208.186
307,2,"16WW",85,159.67,179.085
309,2,"16WW",58,203.33,194.47
321,2,"16WW",154,192,187.575
322,2,"16WW",30,198.33,185.39
324,2,"16WW",47,202,193.498
327,2,"16WW",89,203,197.608
328,2,"16WW",14,179,187.229
330,2,"16WW",114,210.33,199.233
337,2,"16WW",78,191.33,196.037
341,2,"16WW",165,193.33,190.441
342,2,"16WW",156,189,188.868
355,2,"16WW",123,147.67,163.052
359,2,"16WW",107,186,189.34
367,2,"16WW",52,202.67,194.841
368,2,"16WW",131,183.33,189.023
381,2,"16WW",139,210.67,191.305
384,2,"16WW",8,187.67,187.079
12,3,"14DS",33,228.3,194.474
26,3,"14DS",42,200.7,206.187
30,3,"14DS",5,192.3,207.51
32,3,"14DS",158,211.7,212.523
33,3,"14DS",90,193,203.316
34,3,"14DS",95,214.3,193.384
36,3,"14DS",66,201,189.209
39,3,"14DS",10,177,177.645
47,3,"14DS",55,216,215.349
48,3,"14DS",133,206.7,191.14
53,3,"14DS",92,199,218.183
72,3,"14DS",136,201.3,194.392
73,3,"14DS",11,198.7,195.018
79,3,"14DS",20,199.7,195.989
84,3,"14DS",159,198.3,214.651
86,3,"14DS",173,206,193.15
92,3,"14DS",135,196.3,212.639
93,3,"14DS",81,215.3,243.156
94,3,"14DS",37,205.7,214.119
95,3,"14DS",36,205.3,202.54
99,3,"14WW",55,193.3,198.053
107,3,"14WW",37,195.7,203.409
109,3,"14WW",20,189.3,186.635
113,3,"14WW",158,220,205.947
116,3,"14WW",133,180.7,177.019
117,3,"14WW",136,177.7,183.525
123,3,"14WW",10,174.3,178.331
126,3,"14WW",36,199.3,193.886
130,3,"14WW",173,196,179.347
134,3,"14WW",66,195.3,177.414
137,3,"14WW",81,203.7,227.333
140,3,"14WW",11,180,178.907
142,3,"14WW",5,178,195.097
143,3,"14WW",42,201.7,196.293
149,3,"14WW",95,200.3,184.5
155,3,"14WW",135,177.7,203.385
156,3,"14WW",33,204,188.438
167,3,"14WW",92,178,205.118
181,3,"14WW",90,172.7,192.905
189,3,"14WW",159,200,209.726
193,3,"16DS",37,161,183.986
195,3,"16DS",173,173.67,168.418
197,3,"16DS",159,187.33,195.65
208,3,"16DS",136,183.33,172.423
227,3,"16DS",92,179.33,201.043
230,3,"16DS",81,192.33,211.483
231,3,"16DS",133,182.33,145.776
238,3,"16DS",11,173.67,179.568
239,3,"16DS",10,168.67,166.175
240,3,"16DS",55,190.67,198.288
241,3,"16DS",5,189,187.321
247,3,"16DS",66,186.33,173.318
248,3,"16DS",90,179.33,189.078
250,3,"16DS",36,192,183.133
253,3,"16DS",95,187,172.636
261,3,"16DS",158,197.67,197.221
265,3,"16DS",135,179.67,190.721
268,3,"16DS",20,181,172.723
275,3,"16DS",33,172,163.837
281,3,"16DS",42,186,184.541
295,3,"16WW",158,209,205.157
298,3,"16WW",159,196,205.68
299,3,"16WW",66,194.33,174.476
303,3,"16WW",92,192.33,206.012
304,3,"16WW",133,191,175.906
312,3,"16WW",136,191,180.953
316,3,"16WW",37,199,205.982
325,3,"16WW",55,206.67,205.199
326,3,"16WW",11,191.67,190.017
329,3,"16WW",42,188.33,197.981
331,3,"16WW",135,193,203.261
340,3,"16WW",95,207.33,183.102
350,3,"16WW",33,163.67,171.812
352,3,"16WW",10,161.67,167.733
358,3,"16WW",90,190,193.792
365,3,"16WW",81,205,240.943
372,3,"16WW",5,193.67,200.426
374,3,"16WW",36,201.67,191.677
375,3,"16WW",173,197,183.004
377,3,"16WW",20,183.33,189.374
2,4,"14DS",18,222.7,221.304
6,4,"14DS",70,196,191.769
8,4,"14DS",15,192.7,199.767
17,4,"14DS",53,211.7,207.565
19,4,"14DS",64,199,203.416
20,4,"14DS",25,202.7,206.513
22,4,"14DS",112,197,229.302
25,4,"14DS",1,199,195.769
29,4,"14DS",28,210.3,184.057
31,4,"14DS",148,186,217.731
37,4,"14DS",16,220,195.406
38,4,"14DS",128,194.3,230.953
58,4,"14DS",3,197.3,218.799
64,4,"14DS",97,202,178.248
66,4,"14DS",4,201.7,183.108
68,4,"14DS",9,197.3,205.732
69,4,"14DS",138,184.3,194.834
83,4,"14DS",141,202.3,207.534
85,4,"14DS",61,212,233.312
90,4,"14DS",35,202.7,225.844
100,4,"14WW",70,173.7,182.532
108,4,"14WW",138,190,185.888
112,4,"14WW",18,214,213.507
114,4,"14WW",16,218.3,185.195
115,4,"14WW",25,200.3,201.229
121,4,"14WW",28,193.3,178.526
127,4,"14WW",61,206.7,224.819
128,4,"14WW",1,188.7,181.637
131,4,"14WW",15,179.3,188.441
133,4,"14WW",9,183.7,194.931
139,4,"14WW",4,182.7,175.99
152,4,"14WW",148,166.3,209.001
158,4,"14WW",112,192.3,222.04
160,4,"14WW",35,199.7,215.858
163,4,"14WW",3,186.7,209.997
164,4,"14WW",128,193.7,222.899
168,4,"14WW",64,202.7,194.299
178,4,"14WW",97,186,172.084
182,4,"14WW",141,192.7,195.354
186,4,"14WW",53,200.3,198.588
204,4,"16DS",25,181,193.109
209,4,"16DS",128,169.67,217.459
213,4,"16DS",64,188.67,191.985
214,4,"16DS",148,164.67,195.254
215,4,"16DS",1,184.67,178.198
217,4,"16DS",141,188.67,190.033
223,4,"16DS",28,185.67,174.292
224,4,"16DS",18,166,212.683
226,4,"16DS",61,188,219.134
229,4,"16DS",138,160,166.015
232,4,"16DS",4,180.67,161.474
242,4,"16DS",53,181.67,194.012
249,4,"16DS",35,186,208.765
254,4,"16DS",3,186,188.526
266,4,"16DS",70,184,172.598
269,4,"16DS",112,180,197.908
274,4,"16DS",15,174,164.375
279,4,"16DS",16,182.67,172.164
282,4,"16DS",97,196.67,164.083
288,4,"16DS",9,191.33,179.764
305,4,"16WW",53,186,199.45
311,4,"16WW",1,189,186.054
314,4,"16WW",61,208.33,223.704
315,4,"16WW",25,203,203.191
318,4,"16WW",4,208.67,172.498
319,4,"16WW",138,182.67,185.19
323,4,"16WW",141,198.67,199.337
333,4,"16WW",128,183,226.292
334,4,"16WW",97,204.33,175.668
335,4,"16WW",64,201,203.884
336,4,"16WW",16,195,193.285
338,4,"16WW",18,179,216.226
344,4,"16WW",35,189,211.185
349,4,"16WW",15,181.67,163.722
351,4,"16WW",3,161.67,200.323
357,4,"16WW",9,200.33,182.984
362,4,"16WW",70,194,186.194
364,4,"16WW",28,204.33,174.71
366,4,"16WW",148,181,212.256
376,4,"16WW",112,189.33,225.505
3,5,"14DS",93,203.3,199.547
5,5,"14DS",96,216,210.92
14,5,"14DS",72,200,193.211
21,5,"14DS",103,208.3,197.333
24,5,"14DS",87,202.3,194.76
35,5,"14DS",67,213.7,204.743
42,5,"14DS",177,207.7,193.204
46,5,"14DS",60,204.7,196.363
50,5,"14DS",125,190.3,197.429
57,5,"14DS",24,204.3,205.909
65,5,"14DS",121,132.7,199.762
70,5,"14DS",161,214,185.005
71,5,"14DS",82,208.7,186.787
74,5,"14DS",54,214.7,203.792
75,5,"14DS",94,197.3,189.767
78,5,"14DS",27,209.3,196.49
101,5,"14WW",60,193,183.651
102,5,"14WW",125,183,186.358
104,5,"14WW",24,199.7,194.035
119,5,"14WW",94,198.3,188.915
120,5,"14WW",72,205,187.671
122,5,"14WW",27,192.7,195.206
136,5,"14WW",161,197,169.684
141,5,"14WW",121,101.3,191.838
147,5,"14WW",177,193.3,183.479
148,5,"14WW",54,211.3,200.435
151,5,"14WW",82,198.3,175.352
169,5,"14WW",67,194,191.021
172,5,"14WW",93,175,176.986
175,5,"14WW",96,199,204.387
183,5,"14WW",87,199.3,187.198
185,5,"14WW",103,202,190.299
199,5,"16DS",161,200.67,160.129
203,5,"16DS",87,188.67,162.333
210,5,"16DS",72,182.33,180.5
225,5,"16DS",24,180.67,193.828
234,5,"16DS",121,70.67,143.628
236,5,"16DS",96,191.67,179.96
243,5,"16DS",54,189.67,184.735
244,5,"16DS",177,193.67,171.411
255,5,"16DS",94,183,158.256
257,5,"16DS",67,191.33,174.82
258,5,"16DS",125,170.67,160.195
259,5,"16DS",103,184.67,157.505
260,5,"16DS",82,199.67,159.338
263,5,"16DS",27,188.33,182.771
278,5,"16DS",60,195.67,175.773
285,5,"16DS",93,194.33,176.681
293,5,"16WW",94,200,186.325
297,5,"16WW",121,92,209.361
300,5,"16WW",125,186,184.437
306,5,"16WW",82,182,170.746
310,5,"16WW",67,194.67,194.742
313,5,"16WW",96,213,204.555
317,5,"16WW",24,203,196.689
320,5,"16WW",60,201,194.441
332,5,"16WW",103,201,192.479
343,5,"16WW",87,199.67,179.708
346,5,"16WW",27,189,194.683
356,5,"16WW",93,180.67,177.031
363,5,"16WW",177,195,175.516
370,5,"16WW",54,210.67,198.979
373,5,"16WW",72,198.33,186.034
380,5,"16WW",161,206.33,173.144
