"testing","fold","env","individual","observed","predicted"
3,1,"14DS",93,203.3,208.147
13,1,"14DS",52,224,214.431
18,1,"14DS",57,190.7,196.015
39,1,"14DS",10,177,173.849
53,1,"14DS",92,199,208.839
61,1,"14DS",19,202.3,198.884
64,1,"14DS",97,202,187.517
66,1,"14DS",4,201.7,194.777
75,1,"14DS",94,197.3,198.849
78,1,"14DS",27,209.3,188.886
87,1,"14DS",47,208.3,211.452
95,1,"14DS",36,205.3,206.067
98,1,"14WW",38,179.7,191.252
101,1,"14WW",60,193,191.626
103,1,"14WW",83,199,182.561
104,1,"14WW",24,199.7,192.088
113,1,"14WW",158,220,199.089
115,1,"14WW",25,200.3,197.837
127,1,"14WW",61,206.7,199.532
128,1,"14WW",1,188.7,187.74
129,1,"14WW",142,195,192.362
131,1,"14WW",15,179.3,182.768
135,1,"14WW",29,208.7,196.601
136,1,"14WW",161,197,193.691
141,1,"14WW",121,101.3,165.751
145,1,"14WW",156,200.7,188.395
147,1,"14WW",177,193.3,193.509
148,1,"14WW",54,211.3,201.674
150,1,"14WW",14,187.3,191.867
166,1,"14WW",65,189,193.111
177,1,"14WW",40,202.3,193.289
183,1,"14WW",87,199.3,197.101
186,1,"14WW",53,200.3,198.284
192,1,"14WW",123,89.7,166.334
194,1,"16DS",143,167,179.794
200,1,"16DS",75,172.33,187.265
210,1,"16DS",72,182.33,193.596
217,1,"16DS",141,188.67,188.023
218,1,"16DS",17,198.67,172.54
224,1,"16DS",18,166,198.737
228,1,"16DS",26,188.33,186.606
233,1,"16DS",145,178.33,152.691
253,1,"16DS",95,187,177.751
254,1,"16DS",3,186,164.797
257,1,"16DS",67,191.33,187.36
264,1,"16DS",76,187,188.879
266,1,"16DS",70,184,176.936
271,1,"16DS",78,169.33,180.187
276,1,"16DS",13,169.67,162.688
279,1,"16DS",16,182.67,180.754
283,1,"16DS",106,196.67,176.929
290,1,"16WW",69,204,196.685
300,1,"16WW",125,186,189.302
307,1,"16WW",85,159.67,169.591
312,1,"16WW",136,191,187.583
316,1,"16WW",37,199,195.672
319,1,"16WW",138,182.67,194.28
322,1,"16WW",30,198.33,187.441
329,1,"16WW",42,188.33,199.441
330,1,"16WW",114,210.33,206.737
331,1,"16WW",135,193,192.003
335,1,"16WW",64,201,200.917
339,1,"16WW",6,186.67,192.641
341,1,"16WW",165,193.33,189.408
348,1,"16WW",48,179.67,181.179
350,1,"16WW",33,163.67,177.262
357,1,"16WW",9,200.33,175.942
359,1,"16WW",107,186,182.398
364,1,"16WW",28,204.33,199.403
365,1,"16WW",81,205,214.072
376,1,"16WW",112,189.33,199.434
377,1,"16WW",20,183.33,191.533
384,1,"16WW",8,187.67,181.244
9,2,"14DS",40,202.3,208.237
12,2,"14DS",33,228.3,199.704
19,2,"14DS",64,199,200.838
28,2,"14DS",14,197,194.206
32,2,"14DS",158,211.7,213.903
45,2,"14DS",65,203.7,207.202
48,2,"14DS",133,206.7,204.711
49,2,"14DS",114,209,223.832
55,2,"14DS",156,200.3,196.151
62,2,"14DS",17,196.7,202.466
65,2,"14DS",121,132.7,147.322
70,2,"14DS",161,214,213.67
71,2,"14DS",82,208.7,204.796
73,2,"14DS",11,198.7,196.719
76,2,"14DS",145,205.7,194.147
83,2,"14DS",141,202.3,206.939
92,2,"14DS",135,196.3,201.88
93,2,"14DS",81,215.3,219.139
94,2,"14DS",37,205.7,206.182
