"testing","fold","env","individual","observed","predicted"
1,1,"14DS",29,214.3,208.695
3,1,"14DS",93,203.3,211.602
5,1,"14DS",96,216,213.755
6,1,"14DS",70,196,195.762
7,1,"14DS",106,200,209.886
9,1,"14DS",40,202.3,207.313
13,1,"14DS",52,224,213.79
15,1,"14DS",85,204,195.036
23,1,"14DS",77,202.3,204.537
25,1,"14DS",1,199,204.729
37,1,"14DS",16,220,205.31
39,1,"14DS",10,177,188.17
43,1,"14DS",6,191,202.587
48,1,"14DS",133,206.7,204.15
51,1,"14DS",76,202,206.75
54,1,"14DS",172,215,208.23
60,1,"14DS",131,181.7,198.04
61,1,"14DS",19,202.3,201.693
63,1,"14DS",75,185.7,196.999
65,1,"14DS",121,132.7,179.639
75,1,"14DS",94,197.3,203.454
77,1,"14DS",123,97.7,171.15
79,1,"14DS",20,199.7,203.282
92,1,"14DS",135,196.3,204.521
103,1,"14WW",83,199,181.09
112,1,"14WW",18,214,191.221
113,1,"14WW",158,220,200.819
117,1,"14WW",136,177.7,194.415
121,1,"14WW",28,193.3,197.198
122,1,"14WW",27,192.7,195.796
129,1,"14WW",142,195,191.15
130,1,"14WW",173,196,180.993
131,1,"14WW",15,179.3,183.944
132,1,"14WW",89,196.3,196.156
136,1,"14WW",161,197,183.879
158,1,"14WW",112,192.3,199.077
160,1,"14WW",35,199.7,196.215
165,1,"14WW",48,189.3,187.341
167,1,"14WW",92,178,197.302
183,1,"14WW",87,199.3,201.77
186,1,"14WW",53,200.3,192.876
194,1,"16DS",143,167,183.094
201,1,"16DS",58,190.33,176.867
211,1,"16DS",69,181.67,201.677
213,1,"16DS",64,188.67,192.581
214,1,"16DS",148,164.67,170.835
220,1,"16DS",30,188,171.138
225,1,"16DS",24,180.67,195.221
229,1,"16DS",138,160,166.115
230,1,"16DS",81,192.33,184.001
233,1,"16DS",145,178.33,148.42
253,1,"16DS",95,187,172.904
254,1,"16DS",3,186,165.611
257,1,"16DS",67,191.33,183.245
258,1,"16DS",125,170.67,158.48
260,1,"16DS",82,199.67,177.592
282,1,"16DS",97,196.67,178.607
287,1,"16DS",57,183,187.126
291,1,"16WW",17,203.33,186.47
299,1,"16WW",66,194.33,183.507
301,1,"16WW",2,187,179.291
316,1,"16WW",37,199,198.087
320,1,"16WW",60,201,189.852
323,1,"16WW",141,198.67,201.223
324,1,"16WW",47,202,203.96
326,1,"16WW",11,191.67,193.41
328,1,"16WW",14,179,187.368
330,1,"16WW",114,210.33,210.526
337,1,"16WW",78,191.33,197.041
342,1,"16WW",156,189,191.517
350,1,"16WW",33,163.67,176.818
360,1,"16WW",65,196,191.538
370,1,"16WW",54,210.67,199.329
372,1,"16WW",5,193.67,193.93
373,1,"16WW",72,198.33,191.776
374,1,"16WW",36,201.67,198.791
383,1,"16WW",26,204.67,191.19
