"testing","fold","env","individual","observed","predicted"
5,1,"14DS",96,216,212.983
6,1,"14DS",70,196,178.951
8,1,"14DS",15,192.7,196.143
10,1,"14DS",139,214.7,203.227
11,1,"14DS",142,209,221.231
23,1,"14DS",77,202.3,221.795
30,1,"14DS",5,192.3,210.829
46,1,"14DS",60,204.7,193.779
57,1,"14DS",24,204.3,218.502
58,1,"14DS",3,197.3,201.265
59,1,"14DS",69,215,215.329
63,1,"14DS",75,185.7,212.699
68,1,"14DS",9,197.3,205.75
69,1,"14DS",138,184.3,199.426
74,1,"14DS",54,214.7,217.3
76,1,"14DS",145,205.7,195.39
79,1,"14DS",20,199.7,198.158
81,1,"14DS",165,204,200.067
82,1,"14DS",154,201.3,190.66
87,1,"14DS",47,208.3,201.25
97,1,"14WW",139,208.3,183.15
100,1,"14WW",70,173.7,166.47
101,1,"14WW",60,193,183.964
104,1,"14WW",24,199.7,206.25
108,1,"14WW",138,190,190.373
109,1,"14WW",20,189.3,186.144
124,1,"14WW",145,201,203.487
129,1,"14WW",142,195,204.354
131,1,"14WW",15,179.3,180.831
133,1,"14WW",9,183.7,196.274
142,1,"14WW",5,178,196.88
144,1,"14WW",154,186.3,182.525
148,1,"14WW",54,211.3,213.228
163,1,"14WW",3,186.7,191.481
170,1,"14WW",47,193.3,186.736
175,1,"14WW",96,199,210.609
176,1,"14WW",165,187.7,193.605
179,1,"14WW",77,177,201.783
187,1,"14WW",69,207.3,204.928
188,1,"14WW",75,186,208.616
200,1,"16DS",75,172.33,199.306
211,1,"16DS",69,181.67,202.31
216,1,"16DS",154,186.33,183.003
219,1,"16DS",139,193.33,192.405
225,1,"16DS",24,180.67,204.769
229,1,"16DS",138,160,167.116
233,1,"16DS",145,178.33,166.075
236,1,"16DS",96,191.67,181.527
241,1,"16DS",5,189,192.903
243,1,"16DS",54,189.67,197.741
245,1,"16DS",47,202.33,174.226
254,1,"16DS",3,186,170.59
266,1,"16DS",70,184,160.52
268,1,"16DS",20,181,173.549
270,1,"16DS",77,163,198.077
272,1,"16DS",165,144.67,171.354
274,1,"16DS",15,174,160.327
278,1,"16DS",60,195.67,174.949
280,1,"16DS",142,181.33,200.489
288,1,"16DS",9,191.33,180.665
289,1,"16WW",75,177,204.037
290,1,"16WW",69,204,205.586
294,1,"16WW",145,214,206.406
308,1,"16WW",142,159.67,192.465
313,1,"16WW",96,213,205.732
317,1,"16WW",24,203,205.218
319,1,"16WW",138,182.67,189.402
320,1,"16WW",60,201,185.6
321,1,"16WW",154,192,181.456
324,1,"16WW",47,202,188.104
341,1,"16WW",165,193.33,190.962
349,1,"16WW",15,181.67,158.885
351,1,"16WW",3,161.67,182.33
357,1,"16WW",9,200.33,182.479
362,1,"16WW",70,194,170.685
370,1,"16WW",54,210.67,208.62
372,1,"16WW",5,193.67,203.395
377,1,"16WW",20,183.33,191.106
378,1,"16WW",77,178,206.86
381,1,"16WW",139,210.67,194.594
3,2,"14DS",93,203.3,196.832
4,2,"14DS",107,205.7,200.633
7,2,"14DS",106,200,211.776
13,2,"14DS",52,224,230.933
14,2,"14DS",72,200,189.383
18,2,"14DS",57,190.7,205.892
33,2,"14DS",90,193,204.812
34,2,"14DS",95,214.3,206.603
39,2,"14DS",10,177,194.118
41,2,"14DS",30,204.7,182.862
45,2,"14DS",65,203.7,225.265
47,2,"14DS",55,216,218.178
54,2,"14DS",172,215,219.04
60,2,"14DS",131,181.7,190.697
61,2,"14DS",19,202.3,197.899
62,2,"14DS",17,196.7,182.949
70,2,"14DS",161,214,212.367
73,2,"14DS",11,198.7,189.251
78,2,"14DS",27,209.3,181.686
94,2,"14DS",37,205.7,210.593
99,2,"14WW",55,193.3,198.303
105,2,"14WW",106,203.7,199.533
106,2,"14WW",172,198,208.007
107,2,"14WW",37,195.7,198.936
120,2,"14WW",72,205,187.128
122,2,"14WW",27,192.7,181.016
123,2,"14WW",10,174.3,194.974
125,2,"14WW",131,181.7,176.054
136,2,"14WW",161,197,194.904
140,2,"14WW",11,180,168.201
146,2,"14WW",30,196.7,171.406
149,2,"14WW",95,200.3,194.386
157,2,"14WW",52,219.3,219.913
161,2,"14WW",57,200,200.358
166,2,"14WW",65,189,210.987
172,2,"14WW",93,175,174.314
173,2,"14WW",19,182,186.064
180,2,"14WW",107,191.3,185.677
181,2,"14WW",90,172.7,196.272
191,2,"14WW",17,181,165.509
193,2,"16DS",37,161,178.606
199,2,"16DS",161,200.67,188.195
206,2,"16DS",172,185,206.18
207,2,"16DS",107,186.33,181.909
210,2,"16DS",72,182.33,179.12
218,2,"16DS",17,198.67,151.364
220,2,"16DS",30,188,150.636
221,2,"16DS",19,185.33,165.897
237,2,"16DS",131,164.33,150.247
238,2,"16DS",11,173.67,171.775
239,2,"16DS",10,168.67,186.248
240,2,"16DS",55,190.67,203.379
248,2,"16DS",90,179.33,188.701
253,2,"16DS",95,187,179.112
263,2,"16DS",27,188.33,166.72
267,2,"16DS",65,190.33,207.492
277,2,"16DS",52,190,220.681
283,2,"16DS",106,196.67,189.938
285,2,"16DS",93,194.33,165.254
287,2,"16DS",57,183,192.357
291,2,"16WW",17,203.33,168.436
302,2,"16WW",106,206.67,201.008
316,2,"16WW",37,199,201.525
322,2,"16WW",30,198.33,170.307
325,2,"16WW",55,206.67,209.694
326,2,"16WW",11,191.67,183.909
340,2,"16WW",95,207.33,194.622
346,2,"16WW",27,189,173.205
347,2,"16WW",57,180,195.253
352,2,"16WW",10,161.67,188.866
353,2,"16WW",172,185,210.384
356,2,"16WW",93,180.67,171.059
358,2,"16WW",90,190,195.86
359,2,"16WW",107,186,184.82
360,2,"16WW",65,196,210.56
367,2,"16WW",52,202.67,225.469
368,2,"16WW",131,183.33,181.157
373,2,"16WW",72,198.33,179.569
379,2,"16WW",19,190,185.134
380,2,"16WW",161,206.33,205.759
1,3,"14DS",29,214.3,179.466
15,3,"14DS",85,204,191.858
24,3,"14DS",87,202.3,191.394
25,3,"14DS",1,199,192.896
31,3,"14DS",148,186,206.182
35,3,"14DS",67,213.7,215.995
37,3,"14DS",16,220,189.421
43,3,"14DS",6,191,216.308
50,3,"14DS",125,190.3,208.34
51,3,"14DS",76,202,184.055
64,3,"14DS",97,202,173.97
66,3,"14DS",4,201.7,171.267
67,3,"14DS",83,213,184.761
71,3,"14DS",82,208.7,192.017
83,3,"14DS",141,202.3,200.583
84,3,"14DS",159,198.3,231.341
88,3,"14DS",89,220,212.599
89,3,"14DS",143,198.3,200.863
90,3,"14DS",35,202.7,223.648
92,3,"14DS",135,196.3,201.692
102,3,"14WW",125,183,194.549
103,3,"14WW",83,199,168.273
111,3,"14WW",76,203.7,178.682
114,3,"14WW",16,218.3,182.898
118,3,"14WW",6,184,208.553
128,3,"14WW",1,188.7,179.472
132,3,"14WW",89,196.3,194.492
135,3,"14WW",29,208.7,170.74
139,3,"14WW",4,182.7,164.155
151,3,"14WW",82,198.3,181.118
152,3,"14WW",148,166.3,198.079
155,3,"14WW",135,177.7,191.474
160,3,"14WW",35,199.7,214.643
162,3,"14WW",85,189.3,184.67
169,3,"14WW",67,194,204.442
174,3,"14WW",143,188,191.219
178,3,"14WW",97,186,167.494
182,3,"14WW",141,192.7,187.738
183,3,"14WW",87,199.3,185.074
189,3,"14WW",159,200,223.01
194,3,"16DS",143,167,182.04
196,3,"16DS",29,184,157.512
197,3,"16DS",159,187.33,211.473
198,3,"16DS",85,177.67,179.054
203,3,"16DS",87,188.67,157.053
205,3,"16DS",89,195.67,189.921
214,3,"16DS",148,164.67,188.599
215,3,"16DS",1,184.67,175.045
217,3,"16DS",141,188.67,180.011
232,3,"16DS",4,180.67,152.547
249,3,"16DS",35,186,206.922
251,3,"16DS",83,189,164.112
257,3,"16DS",67,191.33,187.544
258,3,"16DS",125,170.67,178.113
260,3,"16DS",82,199.67,170.083
264,3,"16DS",76,187,164.151
265,3,"16DS",135,179.67,176.495
279,3,"16DS",16,182.67,164.828
282,3,"16DS",97,196.67,159.286
286,3,"16DS",6,176,201.794
296,3,"16WW",29,220,171.403
298,3,"16WW",159,196,220.734
300,3,"16WW",125,186,199.036
306,3,"16WW",82,182,177.28
307,3,"16WW",85,159.67,175.187
310,3,"16WW",67,194.67,202.675
311,3,"16WW",1,189,185.178
318,3,"16WW",4,208.67,168.919
323,3,"16WW",141,198.67,190.921
327,3,"16WW",89,203,195.788
331,3,"16WW",135,193,192.186
334,3,"16WW",97,204.33,173.245
336,3,"16WW",16,195,187.075
339,3,"16WW",6,186.67,208.345
343,3,"16WW",87,199.67,177.579
344,3,"16WW",35,189,211.704
345,3,"16WW",83,190,177.696
354,3,"16WW",143,186.33,189.604
366,3,"16WW",148,181,200.565
371,3,"16WW",76,197.33,173.484
12,4,"14DS",33,228.3,196.63
16,4,"14DS",26,218.7,210.743
17,4,"14DS",53,211.7,197.059
19,4,"14DS",64,199,210.871
21,4,"14DS",103,208.3,205.05
22,4,"14DS",112,197,206.825
26,4,"14DS",42,200.7,200.095
27,4,"14DS",13,197.3,193.178
28,4,"14DS",14,197,217.427
40,4,"14DS",68,199,190.498
49,4,"14DS",114,209,215.507
52,4,"14DS",38,203,211.366
55,4,"14DS",156,200.3,179.003
56,4,"14DS",48,201,188.682
65,4,"14DS",121,132.7,195.728
72,4,"14DS",136,201.3,179.282
80,4,"14DS",58,211.3,195.82
91,4,"14DS",2,198.3,180.838
93,4,"14DS",81,215.3,238.336
95,4,"14DS",36,205.3,198.92
98,4,"14WW",38,179.7,198.159
110,4,"14WW",114,213.7,200.704
117,4,"14WW",136,177.7,166.189
126,4,"14WW",36,199.3,188.438
137,4,"14WW",81,203.7,223.713
138,4,"14WW",68,204,184.608
141,4,"14WW",121,101.3,186.595
143,4,"14WW",42,201.7,192.379
145,4,"14WW",156,200.7,170.566
150,4,"14WW",14,187.3,213.697
153,4,"14WW",13,172.3,182.486
154,4,"14WW",26,190,199.535
156,4,"14WW",33,204,187.901
158,4,"14WW",112,192.3,199.525
165,4,"14WW",48,189.3,178.691
168,4,"14WW",64,202.7,201.946
171,4,"14WW",2,181.3,165.472
184,4,"14WW",58,196,187.604
185,4,"14WW",103,202,197.349
186,4,"14WW",53,200.3,194.12
201,4,"16DS",58,190.33,172.79
208,4,"16DS",136,183.33,158.398
212,4,"16DS",2,190,161.298
213,4,"16DS",64,188.67,197.764
222,4,"16DS",68,198,175.168
228,4,"16DS",26,188.33,190.479
230,4,"16DS",81,192.33,208.426
234,4,"16DS",121,70.67,144.577
235,4,"16DS",14,160,191.225
242,4,"16DS",53,181.67,180.471
246,4,"16DS",156,187.33,162.478
250,4,"16DS",36,192,175.859
252,4,"16DS",48,183.67,165.038
256,4,"16DS",114,192,189.871
259,4,"16DS",103,184.67,167.864
262,4,"16DS",38,188.67,200.576
269,4,"16DS",112,180,175.752
275,4,"16DS",33,172,161.011
276,4,"16DS",13,169.67,167.502
281,4,"16DS",42,186,177.409
297,4,"16WW",121,92,207.393
301,4,"16WW",2,187,171.853
305,4,"16WW",53,186,192.648
309,4,"16WW",58,203.33,187.126
312,4,"16WW",136,191,168.657
328,4,"16WW",14,179,210.606
329,4,"16WW",42,188.33,192.149
330,4,"16WW",114,210.33,206.439
332,4,"16WW",103,201,200.108
335,4,"16WW",64,201,210.774
342,4,"16WW",156,189,168.996
348,4,"16WW",48,179.67,170.272
350,4,"16WW",33,163.67,176.383
361,4,"16WW",38,189.33,200.619
365,4,"16WW",81,205,238.804
369,4,"16WW",68,201.33,187.735
374,4,"16WW",36,201.67,192.002
376,4,"16WW",112,189.33,203.682
382,4,"16WW",13,196,189.33
383,4,"16WW",26,204.67,205.651
2,5,"14DS",18,222.7,210.432
9,5,"14DS",40,202.3,195.081
20,5,"14DS",25,202.7,202.679
29,5,"14DS",28,210.3,211.002
32,5,"14DS",158,211.7,207.024
36,5,"14DS",66,201,187.921
38,5,"14DS",128,194.3,211.886
42,5,"14DS",177,207.7,189.951
44,5,"14DS",8,205.7,197.688
48,5,"14DS",133,206.7,188.104
53,5,"14DS",92,199,216.556
75,5,"14DS",94,197.3,205.468
77,5,"14DS",123,97.7,190.502
85,5,"14DS",61,212,216.963
86,5,"14DS",173,206,193.382
96,5,"14DS",78,191.3,198.242
112,5,"14WW",18,214,202.454
113,5,"14WW",158,220,200.537
115,5,"14WW",25,200.3,198.081
116,5,"14WW",133,180.7,175.074
119,5,"14WW",94,198.3,204.272
121,5,"14WW",28,193.3,203.489
127,5,"14WW",61,206.7,210.719
130,5,"14WW",173,196,180.045
134,5,"14WW",66,195.3,177.518
147,5,"14WW",177,193.3,181.325
159,5,"14WW",8,188,193.672
164,5,"14WW",128,193.7,205.199
167,5,"14WW",92,178,206.821
177,5,"14WW",40,202.3,184.684
190,5,"14WW",78,192.7,195.853
192,5,"14WW",123,89.7,178.168
195,5,"16DS",173,173.67,176.741
202,5,"16DS",123,0,165.415
204,5,"16DS",25,181,188.507
209,5,"16DS",128,169.67,201.851
223,5,"16DS",28,185.67,198.219
224,5,"16DS",18,166,199.763
226,5,"16DS",61,188,203.467
227,5,"16DS",92,179.33,200.817
231,5,"16DS",133,182.33,154.631
244,5,"16DS",177,193.67,171.59
247,5,"16DS",66,186.33,175.243
255,5,"16DS",94,183,187.008
261,5,"16DS",158,197.67,191.683
271,5,"16DS",78,169.33,179.61
273,5,"16DS",40,161.67,151.588
284,5,"16DS",8,195.67,182.551
292,5,"16WW",40,210.33,188.827
293,5,"16WW",94,200,203.201
295,5,"16WW",158,209,202.57
299,5,"16WW",66,194.33,175.902
303,5,"16WW",92,192.33,210
304,5,"16WW",133,191,171.291
314,5,"16WW",61,208.33,209.023
315,5,"16WW",25,203,196.328
333,5,"16WW",128,183,209.394
337,5,"16WW",78,191.33,198.497
338,5,"16WW",18,179,210.123
355,5,"16WW",123,147.67,163.6
363,5,"16WW",177,195,180.959
364,5,"16WW",28,204.33,204.501
375,5,"16WW",173,197,187.575
384,5,"16WW",8,187.67,191.022
