"testing","fold","env","individual","observed","predicted"
83,3,"14DS",141,202.3,198.039
84,3,"14DS",159,198.3,233.365
88,3,"14DS",89,220,215.592
89,3,"14DS",143,198.3,199.865
90,3,"14DS",35,202.7,226.839
92,3,"14DS",135,196.3,203.544
102,3,"14WW",125,183,194.182
103,3,"14WW",83,199,166.381
111,3,"14WW",76,203.7,178.682
114,3,"14WW",16,218.3,183.137
118,3,"14WW",6,184,208.622
128,3,"14WW",1,188.7,178.704
132,3,"14WW",89,196.3,197.618
135,3,"14WW",29,208.7,170.694
139,3,"14WW",4,182.7,164.282
151,3,"14WW",82,198.3,183.438
152,3,"14WW",148,166.3,199.893
155,3,"14WW",135,177.7,192.569
160,3,"14WW",35,199.7,217.966
162,3,"14WW",85,189.3,183.983
169,3,"14WW",67,194,206.127
174,3,"14WW",143,188,190.589
178,3,"14WW",97,186,168.214
182,3,"14WW",141,192.7,184.903
183,3,"14WW",87,199.3,185.502
189,3,"14WW",159,200,224.788
194,3,"16DS",143,167,181.247
196,3,"16DS",29,184,157.645
197,3,"16DS",159,187.33,213.366
198,3,"16DS",85,177.67,178.606
203,3,"16DS",87,188.67,156.779
205,3,"16DS",89,195.67,192.85
214,3,"16DS",148,164.67,190.516
215,3,"16DS",1,184.67,174.677
217,3,"16DS",141,188.67,177.253
232,3,"16DS",4,180.67,152.434
249,3,"16DS",35,186,210.029
251,3,"16DS",83,189,161.864
257,3,"16DS",67,191.33,189.342
258,3,"16DS",125,170.67,177.934
260,3,"16DS",82,199.67,171.471
264,3,"16DS",76,187,163.466
265,3,"16DS",135,179.67,177.499
279,3,"16DS",16,182.67,164.644
282,3,"16DS",97,196.67,159.557
286,3,"16DS",6,176,201.827
296,3,"16WW",29,220,171.465
298,3,"16WW",159,196,222.283
300,3,"16WW",125,186,198.876
306,3,"16WW",82,182,179.03
307,3,"16WW",85,159.67,174.343
310,3,"16WW",67,194.67,204.64
311,3,"16WW",1,189,184.671
318,3,"16WW",4,208.67,169.199
323,3,"16WW",141,198.67,188.31
327,3,"16WW",89,203,198.685
331,3,"16WW",135,193,193.862
334,3,"16WW",97,204.33,173.81
336,3,"16WW",16,195,187.426
339,3,"16WW",6,186.67,208.205
343,3,"16WW",87,199.67,177.726
344,3,"16WW",35,189,215.236
345,3,"16WW",83,190,176.282
354,3,"16WW",143,186.33,188.306
366,3,"16WW",148,181,202.779
371,3,"16WW",76,197.33,173.625
12,4,"14DS",33,228.3,196.009
16,4,"14DS",26,218.7,211.661
17,4,"14DS",53,211.7,196.885
19,4,"14DS",64,199,211.559
21,4,"14DS",103,208.3,204.32
22,4,"14DS",112,197,206.387
26,4,"14DS",42,200.7,199.774
27,4,"14DS",13,197.3,192.835
28,4,"14DS",14,197,217.358
40,4,"14DS",68,199,190.584
49,4,"14DS",114,209,216.386
52,4,"14DS",38,203,211.685
55,4,"14DS",156,200.3,179.717
56,4,"14DS",48,201,189.23
65,4,"14DS",121,132.7,196.045
72,4,"14DS",136,201.3,181.56
80,4,"14DS",58,211.3,194.84
91,4,"14DS",2,198.3,181.246
93,4,"14DS",81,215.3,237.471
95,4,"14DS",36,205.3,199.11
98,4,"14WW",38,179.7,198.261
110,4,"14WW",114,213.7,202.07
117,4,"14WW",136,177.7,168.61
126,4,"14WW",36,199.3,188.604
137,4,"14WW",81,203.7,223.447
138,4,"14WW",68,204,184.016
141,4,"14WW",121,101.3,186.706
143,4,"14WW",42,201.7,191.625
145,4,"14WW",156,200.7,171.768
150,4,"14WW",14,187.3,212.969
153,4,"14WW",13,172.3,181.794
154,4,"14WW",26,190,199.876
156,4,"14WW",33,204,187.277
158,4,"14WW",112,192.3,199.904
165,4,"14WW",48,189.3,179.099
168,4,"14WW",64,202.7,202.406
171,4,"14WW",2,181.3,165.926
184,4,"14WW",58,196,187.149
185,4,"14WW",103,202,197.241
186,4,"14WW",53,200.3,194.233
201,4,"16DS",58,190.33,172.302
208,4,"16DS",136,183.33,160.358
212,4,"16DS",2,190,162.286
213,4,"16DS",64,188.67,198.469
222,4,"16DS",68,198,175.194
228,4,"16DS",26,188.33,191.563
230,4,"16DS",81,192.33,207.897
234,4,"16DS",121,70.67,146.921
235,4,"16DS",14,160,190.703
242,4,"16DS",53,181.67,180.909
246,4,"16DS",156,187.33,162.844
250,4,"16DS",36,192,175.248
252,4,"16DS",48,183.67,166.514
256,4,"16DS",114,192,190.707
259,4,"16DS",103,184.67,168.194
262,4,"16DS",38,188.67,200.101
269,4,"16DS",112,180,176.279
275,4,"16DS",33,172,161.345
276,4,"16DS",13,169.67,167.188
281,4,"16DS",42,186,177.08
297,4,"16WW",121,92,206.923
301,4,"16WW",2,187,172.026
305,4,"16WW",53,186,192.69
309,4,"16WW",58,203.33,186.858
312,4,"16WW",136,191,171.153
328,4,"16WW",14,179,209.673
329,4,"16WW",42,188.33,191.715
330,4,"16WW",114,210.33,207.097
332,4,"16WW",103,201,199.845
335,4,"16WW",64,201,211.422
342,4,"16WW",156,189,169.94
348,4,"16WW",48,179.67,171.33
350,4,"16WW",33,163.67,176.166
361,4,"16WW",38,189.33,200.74
365,4,"16WW",81,205,237.756
369,4,"16WW",68,201.33,187.865
374,4,"16WW",36,201.67,191.836
376,4,"16WW",112,189.33,203.747
382,4,"16WW",13,196,188.42
383,4,"16WW",26,204.67,206.152
2,5,"14DS",18,222.7,210.571
9,5,"14DS",40,202.3,194.948
20,5,"14DS",25,202.7,201.904
29,5,"14DS",28,210.3,210.339
32,5,"14DS",158,211.7,206.992
36,5,"14DS",66,201,189.477
38,5,"14DS",128,194.3,211.629
42,5,"14DS",177,207.7,189.53
44,5,"14DS",8,205.7,197.161
48,5,"14DS",133,206.7,188.775
53,5,"14DS",92,199,217.181
75,5,"14DS",94,197.3,205.802
77,5,"14DS",123,97.7,188.549
85,5,"14DS",61,212,216.203
86,5,"14DS",173,206,193.376
96,5,"14DS",78,191.3,197.29
112,5,"14WW",18,214,203.248
113,5,"14WW",158,220,200.93
115,5,"14WW",25,200.3,197.703
116,5,"14WW",133,180.7,175.695
119,5,"14WW",94,198.3,204.637
121,5,"14WW",28,193.3,203.089
127,5,"14WW",61,206.7,209.133
130,5,"14WW",173,196,179.954
134,5,"14WW",66,195.3,178.756
147,5,"14WW",177,193.3,180.927
159,5,"14WW",8,188,193.44
164,5,"14WW",128,193.7,204.833
167,5,"14WW",92,178,207.328
177,5,"14WW",40,202.3,184.377
190,5,"14WW",78,192.7,195.171
192,5,"14WW",123,89.7,177.208
195,5,"16DS",173,173.67,176.588
202,5,"16DS",123,0,163.966
204,5,"16DS",25,181,187.536
209,5,"16DS",128,169.67,201.788
223,5,"16DS",28,185.67,197.785
224,5,"16DS",18,166,199.461
226,5,"16DS",61,188,202.468
227,5,"16DS",92,179.33,201.161
231,5,"16DS",133,182.33,154.524
244,5,"16DS",177,193.67,171.124
247,5,"16DS",66,186.33,176.977
255,5,"16DS",94,183,187.474
261,5,"16DS",158,197.67,191.907
271,5,"16DS",78,169.33,178.891
273,5,"16DS",40,161.67,149.506
284,5,"16DS",8,195.67,182.214
292,5,"16WW",40,210.33,189.112
293,5,"16WW",94,200,203.408
