"testing","fold","env","individual","observed","predicted"
1,1,"14DS",29,214.3,183.112
5,1,"14DS",96,216,205.834
8,1,"14DS",15,192.7,182.187
11,1,"14DS",142,209,218.932
15,1,"14DS",85,204,189.4
18,1,"14DS",57,190.7,205.771
21,1,"14DS",103,208.3,225.519
30,1,"14DS",5,192.3,210.181
33,1,"14DS",90,193,202.444
36,1,"14DS",66,201,184.523
47,1,"14DS",55,216,216.029
51,1,"14DS",76,202,186.22
60,1,"14DS",131,181.7,197.53
67,1,"14DS",83,213,189.534
76,1,"14DS",145,205.7,195.168
84,1,"14DS",159,198.3,226.267
85,1,"14DS",61,212,227.634
91,1,"14DS",2,198.3,169.678
92,1,"14DS",135,196.3,196.541
95,1,"14DS",36,205.3,198.5
99,1,"14WW",55,193.3,196.803
103,1,"14WW",83,199,171.052
111,1,"14WW",76,203.7,180.647
124,1,"14WW",145,201,195.331
125,1,"14WW",131,181.7,184.929
126,1,"14WW",36,199.3,191.822
127,1,"14WW",61,206.7,222.701
129,1,"14WW",142,195,203.39
131,1,"14WW",15,179.3,170.764
134,1,"14WW",66,195.3,174.28
135,1,"14WW",29,208.7,177.745
142,1,"14WW",5,178,197.27
155,1,"14WW",135,177.7,186.109
161,1,"14WW",57,200,197.175
162,1,"14WW",85,189.3,184.784
171,1,"14WW",2,181.3,155.189
175,1,"14WW",96,199,202.284
181,1,"14WW",90,172.7,192.819
185,1,"14WW",103,202,221.992
189,1,"14WW",159,200,222.588
196,1,"16DS",29,184,164.042
197,1,"16DS",159,187.33,206.249
198,1,"16DS",85,177.67,175.857
212,1,"16DS",2,190,154.181
226,1,"16DS",61,188,211.112
233,1,"16DS",145,178.33,171.06
236,1,"16DS",96,191.67,183.745
237,1,"16DS",131,164.33,163.318
240,1,"16DS",55,190.67,196.852
241,1,"16DS",5,189,190.964
247,1,"16DS",66,186.33,165.417
248,1,"16DS",90,179.33,189.924
250,1,"16DS",36,192,177.806
251,1,"16DS",83,189,174.716
259,1,"16DS",103,184.67,201.332
264,1,"16DS",76,187,164.318
265,1,"16DS",135,179.67,175.87
274,1,"16DS",15,174,150.929
280,1,"16DS",142,181.33,200.39
287,1,"16DS",57,183,188.763
294,1,"16WW",145,214,196.76
296,1,"16WW",29,220,176.978
298,1,"16WW",159,196,218.689
299,1,"16WW",66,194.33,170.24
301,1,"16WW",2,187,155.387
307,1,"16WW",85,159.67,172.223
308,1,"16WW",142,159.67,193.174
313,1,"16WW",96,213,201.436
314,1,"16WW",61,208.33,221.123
325,1,"16WW",55,206.67,207.003
331,1,"16WW",135,193,186.143
332,1,"16WW",103,201,223.081
345,1,"16WW",83,190,180.08
347,1,"16WW",57,180,197.109
349,1,"16WW",15,181.67,149.434
358,1,"16WW",90,190,193.578
368,1,"16WW",131,183.33,185.42
371,1,"16WW",76,197.33,178.578
372,1,"16WW",5,193.67,200.992
374,1,"16WW",36,201.67,189.457
3,2,"14DS",93,203.3,211.491
4,2,"14DS",107,205.7,205.701
9,2,"14DS",40,202.3,204.052
16,2,"14DS",26,218.7,197.91
20,2,"14DS",25,202.7,215.968
22,2,"14DS",112,197,212.18
38,2,"14DS",128,194.3,216.148
46,2,"14DS",60,204.7,193.973
52,2,"14DS",38,203,210.579
54,2,"14DS",172,215,204.435
63,2,"14DS",75,185.7,203.899
64,2,"14DS",97,202,179.44
66,2,"14DS",4,201.7,200.504
74,2,"14DS",54,214.7,212.692
79,2,"14DS",20,199.7,189.142
81,2,"14DS",165,204,211.362
82,2,"14DS",154,201.3,189.405
87,2,"14DS",47,208.3,205.9
90,2,"14DS",35,202.7,210.591
93,2,"14DS",81,215.3,245.698
98,2,"14WW",38,179.7,197.155
101,2,"14WW",60,193,180.988
106,2,"14WW",172,198,191.86
109,2,"14WW",20,189.3,181.679
115,2,"14WW",25,200.3,211.372
137,2,"14WW",81,203.7,233.723
139,2,"14WW",4,182.7,194.06
144,2,"14WW",154,186.3,182.968
148,2,"14WW",54,211.3,208.235
154,2,"14WW",26,190,186.166
158,2,"14WW",112,192.3,207.835
160,2,"14WW",35,199.7,201.543
164,2,"14WW",128,193.7,208.173
170,2,"14WW",47,193.3,193.273
172,2,"14WW",93,175,196.528
176,2,"14WW",165,187.7,204.837
177,2,"14WW",40,202.3,196.104
178,2,"14WW",97,186,173.831
180,2,"14WW",107,191.3,191.76
188,2,"14WW",75,186,202.224
200,2,"16DS",75,172.33,188.592
204,2,"16DS",25,181,199.503
206,2,"16DS",172,185,189.635
207,2,"16DS",107,186.33,184.842
209,2,"16DS",128,169.67,202.319
216,2,"16DS",154,186.33,176.207
228,2,"16DS",26,188.33,177.758
230,2,"16DS",81,192.33,215.055
232,2,"16DS",4,180.67,176.931
243,2,"16DS",54,189.67,191.202
245,2,"16DS",47,202.33,184.393
249,2,"16DS",35,186,192.391
262,2,"16DS",38,188.67,192.247
268,2,"16DS",20,181,168.644
269,2,"16DS",112,180,187.666
272,2,"16DS",165,144.67,183.102
273,2,"16DS",40,161.67,155.689
278,2,"16DS",60,195.67,175.839
282,2,"16DS",97,196.67,164.675
285,2,"16DS",93,194.33,186.182
289,2,"16WW",75,177,198.207
292,2,"16WW",40,210.33,199.268
315,2,"16WW",25,203,215.007
318,2,"16WW",4,208.67,197.945
320,2,"16WW",60,201,191.89
321,2,"16WW",154,192,180.504
324,2,"16WW",47,202,199.067
333,2,"16WW",128,183,213.03
334,2,"16WW",97,204.33,178.25
341,2,"16WW",165,193.33,201.336
344,2,"16WW",35,189,201.83
353,2,"16WW",172,185,193.399
356,2,"16WW",93,180.67,179.913
359,2,"16WW",107,186,190.216
361,2,"16WW",38,189.33,199.85
365,2,"16WW",81,205,245.011
370,2,"16WW",54,210.67,206.799
376,2,"16WW",112,189.33,209.064
377,2,"16WW",20,183.33,184.706
383,2,"16WW",26,204.67,189.351
13,3,"14DS",52,224,208.491
19,3,"14DS",64,199,193.093
24,3,"14DS",87,202.3,204.612
25,3,"14DS",1,199,206.639
26,3,"14DS",42,200.7,197.517
31,3,"14DS",148,186,194.794
34,3,"14DS",95,214.3,193.495
42,3,"14DS",177,207.7,191.061
43,3,"14DS",6,191,197.593
48,3,"14DS",133,206.7,197.398
49,3,"14DS",114,209,220.382
50,3,"14DS",125,190.3,203.845
55,3,"14DS",156,200.3,189.544
71,3,"14DS",82,208.7,201.806
73,3,"14DS",11,198.7,196.6
77,3,"14DS",123,97.7,172.831
80,3,"14DS",58,211.3,207.609
86,3,"14DS",173,206,201.708
94,3,"14DS",37,205.7,221.227
96,3,"14DS",78,191.3,191.959
102,3,"14WW",125,183,179.186
107,3,"14WW",37,195.7,200.732
110,3,"14WW",114,213.7,207.454
116,3,"14WW",133,180.7,181.648
118,3,"14WW",6,184,191.324
128,3,"14WW",1,188.7,190.55
130,3,"14WW",173,196,188.203
140,3,"14WW",11,180,174.513
143,3,"14WW",42,201.7,187.014
145,3,"14WW",156,200.7,186.238
147,3,"14WW",177,193.3,185.176
149,3,"14WW",95,200.3,184.478
151,3,"14WW",82,198.3,195.545
152,3,"14WW",148,166.3,187.255
157,3,"14WW",52,219.3,199.605
168,3,"14WW",64,202.7,189.298
183,3,"14WW",87,199.3,201.131
184,3,"14WW",58,196,197.668
190,3,"14WW",78,192.7,193.666
192,3,"14WW",123,89.7,180.103
193,3,"16DS",37,161,188.056
195,3,"16DS",173,173.67,178.418
201,3,"16DS",58,190.33,175.463
202,3,"16DS",123,0,160.428
203,3,"16DS",87,188.67,181.247
213,3,"16DS",64,188.67,188.119
214,3,"16DS",148,164.67,174.981
215,3,"16DS",1,184.67,190.263
231,3,"16DS",133,182.33,157.309
238,3,"16DS",11,173.67,174.936
244,3,"16DS",177,193.67,168.926
