"testing","fold","env","individual","observed","predicted"
73,3,"14DS",11,198.7,196.812
77,3,"14DS",123,97.7,175.641
80,3,"14DS",58,211.3,208.038
86,3,"14DS",173,206,202.48
94,3,"14DS",37,205.7,221.113
96,3,"14DS",78,191.3,191.657
102,3,"14WW",125,183,179.604
107,3,"14WW",37,195.7,201.9
110,3,"14WW",114,213.7,207.335
116,3,"14WW",133,180.7,181.368
118,3,"14WW",6,184,189.355
128,3,"14WW",1,188.7,190.492
130,3,"14WW",173,196,188.978
140,3,"14WW",11,180,175.713
143,3,"14WW",42,201.7,187.515
145,3,"14WW",156,200.7,185.117
147,3,"14WW",177,193.3,182.64
149,3,"14WW",95,200.3,184.856
151,3,"14WW",82,198.3,194.35
152,3,"14WW",148,166.3,185.962
157,3,"14WW",52,219.3,199.005
168,3,"14WW",64,202.7,188.21
183,3,"14WW",87,199.3,199.623
184,3,"14WW",58,196,198.357
190,3,"14WW",78,192.7,192.684
192,3,"14WW",123,89.7,181.21
193,3,"16DS",37,161,189.189
195,3,"16DS",173,173.67,179.394
201,3,"16DS",58,190.33,176.59
202,3,"16DS",123,0,161.415
203,3,"16DS",87,188.67,180.378
213,3,"16DS",64,188.67,186.511
214,3,"16DS",148,164.67,174.079
215,3,"16DS",1,184.67,189.838
231,3,"16DS",133,182.33,157.518
238,3,"16DS",11,173.67,175.811
244,3,"16DS",177,193.67,166.839
246,3,"16DS",156,187.33,178.347
253,3,"16DS",95,187,175.812
256,3,"16DS",114,192,188.814
258,3,"16DS",125,170.67,168.702
260,3,"16DS",82,199.67,176.703
271,3,"16DS",78,169.33,175.627
277,3,"16DS",52,190,190.317
281,3,"16DS",42,186,173.851
286,3,"16DS",6,176,176.664
300,3,"16WW",125,186,186.404
304,3,"16WW",133,191,178.282
306,3,"16WW",82,182,185.38
309,3,"16WW",58,203.33,195.082
311,3,"16WW",1,189,190.539
316,3,"16WW",37,199,207.136
326,3,"16WW",11,191.67,191.801
329,3,"16WW",42,188.33,190.045
330,3,"16WW",114,210.33,211.504
335,3,"16WW",64,201,195.107
337,3,"16WW",78,191.33,195.393
339,3,"16WW",6,186.67,188.983
340,3,"16WW",95,207.33,182.706
342,3,"16WW",156,189,186.298
343,3,"16WW",87,199.67,193.542
355,3,"16WW",123,147.67,158.186
363,3,"16WW",177,195,179.85
366,3,"16WW",148,181,188.209
367,3,"16WW",52,202.67,207.169
375,3,"16WW",173,197,193.164
12,4,"14DS",33,228.3,176.569
17,4,"14DS",53,211.7,191.911
29,4,"14DS",28,210.3,197.64
32,4,"14DS",158,211.7,198.149
35,4,"14DS",67,213.7,213.994
39,4,"14DS",10,177,205.132
44,4,"14DS",8,205.7,194.303
45,4,"14DS",65,203.7,212.268
56,4,"14DS",48,201,179.024
57,4,"14DS",24,204.3,207.443
58,4,"14DS",3,197.3,205.806
61,4,"14DS",19,202.3,185.975
62,4,"14DS",17,196.7,169.153
68,4,"14DS",9,197.3,202.599
69,4,"14DS",138,184.3,205.736
70,4,"14DS",161,214,205.187
72,4,"14DS",136,201.3,192.006
78,4,"14DS",27,209.3,172.216
83,4,"14DS",141,202.3,196.029
89,4,"14DS",143,198.3,191.977
104,4,"14WW",24,199.7,197.146
108,4,"14WW",138,190,197.375
113,4,"14WW",158,220,190.905
117,4,"14WW",136,177.7,180.9
121,4,"14WW",28,193.3,196.961
122,4,"14WW",27,192.7,169.702
123,4,"14WW",10,174.3,206.593
133,4,"14WW",9,183.7,192.434
136,4,"14WW",161,197,192.072
156,4,"14WW",33,204,172.684
159,4,"14WW",8,188,186.79
163,4,"14WW",3,186.7,200.798
165,4,"14WW",48,189.3,165.284
166,4,"14WW",65,189,199.79
169,4,"14WW",67,194,202.138
173,4,"14WW",19,182,171.738
174,4,"14WW",143,188,184.896
182,4,"14WW",141,192.7,186.828
186,4,"14WW",53,200.3,188.12
191,4,"14WW",17,181,162.436
194,4,"16DS",143,167,169.515
199,4,"16DS",161,200.67,182.604
208,4,"16DS",136,183.33,168.63
217,4,"16DS",141,188.67,177.579
218,4,"16DS",17,198.67,142.881
221,4,"16DS",19,185.33,164.749
223,4,"16DS",28,185.67,180.05
225,4,"16DS",24,180.67,191.873
229,4,"16DS",138,160,169.936
239,4,"16DS",10,168.67,192.651
242,4,"16DS",53,181.67,177.414
252,4,"16DS",48,183.67,157.477
254,4,"16DS",3,186,180.073
257,4,"16DS",67,191.33,189.179
261,4,"16DS",158,197.67,180.965
263,4,"16DS",27,188.33,159.56
267,4,"16DS",65,190.33,192.344
275,4,"16DS",33,172,151.807
284,4,"16DS",8,195.67,171.972
288,4,"16DS",9,191.33,182.995
291,4,"16WW",17,203.33,156.631
295,4,"16WW",158,209,190.891
305,4,"16WW",53,186,187.838
310,4,"16WW",67,194.67,204.566
312,4,"16WW",136,191,182.868
317,4,"16WW",24,203,198.865
319,4,"16WW",138,182.67,202.776
323,4,"16WW",141,198.67,187.433
346,4,"16WW",27,189,169.034
348,4,"16WW",48,179.67,160.442
350,4,"16WW",33,163.67,156.514
351,4,"16WW",3,161.67,191.947
352,4,"16WW",10,161.67,199.606
354,4,"16WW",143,186.33,178.94
357,4,"16WW",9,200.33,183.871
360,4,"16WW",65,196,203.36
364,4,"16WW",28,204.33,189.09
379,4,"16WW",19,190,176.484
380,4,"16WW",161,206.33,195.8
384,4,"16WW",8,187.67,183.646
2,5,"14DS",18,222.7,211.075
6,5,"14DS",70,196,186.692
7,5,"14DS",106,200,209.063
10,5,"14DS",139,214.7,201.65
14,5,"14DS",72,200,196.654
23,5,"14DS",77,202.3,211.056
27,5,"14DS",13,197.3,189.302
28,5,"14DS",14,197,204.917
37,5,"14DS",16,220,195.167
40,5,"14DS",68,199,193.774
41,5,"14DS",30,204.7,183.614
53,5,"14DS",92,199,203.232
59,5,"14DS",69,215,209.892
65,5,"14DS",121,132.7,199.591
75,5,"14DS",94,197.3,193.721
88,5,"14DS",89,220,215.278
97,5,"14WW",139,208.3,187.695
100,5,"14WW",70,173.7,179.032
105,5,"14WW",106,203.7,194.701
112,5,"14WW",18,214,201.323
114,5,"14WW",16,218.3,186.325
119,5,"14WW",94,198.3,194.714
120,5,"14WW",72,205,196.243
132,5,"14WW",89,196.3,201.124
138,5,"14WW",68,204,190.454
141,5,"14WW",121,101.3,187.847
146,5,"14WW",30,196.7,174.94
150,5,"14WW",14,187.3,197.486
153,5,"14WW",13,172.3,179.495
167,5,"14WW",92,178,189.888
179,5,"14WW",77,177,197.109
187,5,"14WW",69,207.3,206.467
205,5,"16DS",89,195.67,196.85
210,5,"16DS",72,182.33,182.228
211,5,"16DS",69,181.67,197.076
219,5,"16DS",139,193.33,187.74
220,5,"16DS",30,188,163.133
222,5,"16DS",68,198,183.739
224,5,"16DS",18,166,195.489
227,5,"16DS",92,179.33,182.884
234,5,"16DS",121,70.67,167.677
235,5,"16DS",14,160,176.143
255,5,"16DS",94,183,170.841
266,5,"16DS",70,184,169.172
270,5,"16DS",77,163,192.591
276,5,"16DS",13,169.67,161.876
279,5,"16DS",16,182.67,179.755
