"testing","fold","env","individual","observed","predicted"
2,1,"14DS",18,222.7,197.857
10,1,"14DS",139,214.7,208.747
15,1,"14DS",85,204,187.763
16,1,"14DS",26,218.7,202.053
17,1,"14DS",53,211.7,193.232
32,1,"14DS",158,211.7,210.101
36,1,"14DS",66,201,201.501
37,1,"14DS",16,220,206.008
42,1,"14DS",177,207.7,204.246
45,1,"14DS",65,203.7,205.873
49,1,"14DS",114,209,218.408
51,1,"14DS",76,202,208.997
55,1,"14DS",156,200.3,191.759
61,1,"14DS",19,202.3,203.318
66,1,"14DS",4,201.7,185.262
71,1,"14DS",82,208.7,200.8
78,1,"14DS",27,209.3,197.264
85,1,"14DS",61,212,209.553
88,1,"14DS",89,220,214.9
109,1,"14WW",20,189.3,193.353
117,1,"14WW",136,177.7,194.764
120,1,"14WW",72,205,203.252
125,1,"14WW",131,181.7,184.959
130,1,"14WW",173,196,186.148
133,1,"14WW",9,183.7,192.911
136,1,"14WW",161,197,190.614
137,1,"14WW",81,203.7,201.293
152,1,"14WW",148,166.3,200.11
153,1,"14WW",13,172.3,185.662
156,1,"14WW",33,204,200.42
161,1,"14WW",57,200,191.493
169,1,"14WW",67,194,200.056
171,1,"14WW",2,181.3,173.836
200,1,"16DS",75,172.33,180.138
207,1,"16DS",107,186.33,181.326
213,1,"16DS",64,188.67,191.677
234,1,"16DS",121,70.67,117.697
236,1,"16DS",96,191.67,187.986
238,1,"16DS",11,173.67,181.15
239,1,"16DS",10,168.67,168.803
240,1,"16DS",55,190.67,193.606
252,1,"16DS",48,183.67,177.409
259,1,"16DS",103,184.67,172.422
262,1,"16DS",38,188.67,188.362
265,1,"16DS",135,179.67,177.44
274,1,"16DS",15,174,162.292
284,1,"16DS",8,195.67,183.354
293,1,"16WW",94,200,203.929
296,1,"16WW",29,220,194.494
298,1,"16WW",159,196,198.484
303,1,"16WW",92,192.33,197.75
304,1,"16WW",133,191,182.574
309,1,"16WW",58,203.33,194.642
311,1,"16WW",1,189,187.012
321,1,"16WW",154,192,192.648
323,1,"16WW",141,198.67,198.268
328,1,"16WW",14,179,181.758
329,1,"16WW",42,188.33,199.176
334,1,"16WW",97,204.33,193.677
339,1,"16WW",6,186.67,196.028
340,1,"16WW",95,207.33,188.823
341,1,"16WW",165,193.33,186.39
343,1,"16WW",87,199.67,196.216
345,1,"16WW",83,190,189.104
351,1,"16WW",3,161.67,184.87
353,1,"16WW",172,185,200.335
354,1,"16WW",143,186.33,178.744
356,1,"16WW",93,180.67,152.835
358,1,"16WW",90,190,181.912
372,1,"16WW",5,193.67,192.841
376,1,"16WW",112,189.33,199.666
378,1,"16WW",77,178,190.041
1,2,"14DS",29,214.3,202.96
6,2,"14DS",70,196,188.005
9,2,"14DS",40,202.3,207.908
18,2,"14DS",57,190.7,196.998
19,2,"14DS",64,199,198.543
20,2,"14DS",25,202.7,197.224
23,2,"14DS",77,202.3,201.944
24,2,"14DS",87,202.3,205.387
26,2,"14DS",42,200.7,198.626
34,2,"14DS",95,214.3,207.395
35,2,"14DS",67,213.7,208.142
38,2,"14DS",128,194.3,198.715
41,2,"14DS",30,204.7,207.259
46,2,"14DS",60,204.7,202.711
47,2,"14DS",55,216,212.41
48,2,"14DS",133,206.7,205.446
54,2,"14DS",172,215,208.716
63,2,"14DS",75,185.7,198.281
67,2,"14DS",83,213,198.599
76,2,"14DS",145,205.7,199.251
79,2,"14DS",20,199.7,204.398
81,2,"14DS",165,204,203.41
82,2,"14DS",154,201.3,202.086
83,2,"14DS",141,202.3,210.611
90,2,"14DS",35,202.7,203.69
92,2,"14DS",135,196.3,203.46
95,2,"14DS",36,205.3,207.975
96,2,"14DS",78,191.3,198.827
102,2,"14WW",125,183,177.364
104,2,"14WW",24,199.7,188.378
105,2,"14WW",106,203.7,193.21
107,2,"14WW",37,195.7,184.97
108,2,"14WW",138,190,187.435
111,2,"14WW",76,203.7,198.53
119,2,"14WW",94,198.3,204.043
121,2,"14WW",28,193.3,206.68
122,2,"14WW",27,192.7,194.816
138,2,"14WW",68,204,185.543
139,2,"14WW",4,182.7,196.203
140,2,"14WW",11,180,172.882
145,2,"14WW",156,200.7,191.514
150,2,"14WW",14,187.3,191.783
154,2,"14WW",26,190,186.777
158,2,"14WW",112,192.3,199.542
162,2,"14WW",85,189.3,185.584
165,2,"14WW",48,189.3,188.472
170,2,"14WW",47,193.3,195.034
174,2,"14WW",143,188,193.178
175,2,"14WW",96,199,207.793
178,2,"14WW",97,186,188.876
185,2,"14WW",103,202,201.62
186,2,"14WW",53,200.3,192.845
191,2,"14WW",17,181,183.477
201,2,"16DS",58,190.33,171.51
202,2,"16DS",123,0,147.935
208,2,"16DS",136,183.33,172.832
210,2,"16DS",72,182.33,185.041
214,2,"16DS",148,164.67,170.811
215,2,"16DS",1,184.67,188.011
230,2,"16DS",81,192.33,187.366
243,2,"16DS",54,189.67,193.79
244,2,"16DS",177,193.67,178.55
247,2,"16DS",66,186.33,187.906
254,2,"16DS",3,186,169.983
260,2,"16DS",82,199.67,176.177
261,2,"16DS",158,197.67,194.211
267,2,"16DS",65,190.33,188.211
275,2,"16DS",33,172,169.493
279,2,"16DS",16,182.67,183.115
290,2,"16WW",69,204,200.649
297,2,"16WW",121,92,150.259
301,2,"16WW",2,187,184.86
308,2,"16WW",142,159.67,186.438
327,2,"16WW",89,203,202.203
349,2,"16WW",15,181.67,151.695
359,2,"16WW",107,186,182.817
367,2,"16WW",52,202.67,211.306
375,2,"16WW",173,197,190.253
379,2,"16WW",19,190,191.488
380,2,"16WW",161,206.33,209.199
381,2,"16WW",139,210.67,201.438
384,2,"16WW",8,187.67,185.262
3,3,"14DS",93,203.3,212.224
13,3,"14DS",52,224,205.113
