"ENV","Plot","Rep","Bloc","DH","GY","EPP","ASI","AD","PH","SD","uid","EID"
"16WW",93,1,9,65,6.73,1.11,1,58,196,59,"16WW_65",4
"16WW",94,1,9,38,6.93,0.95,1,58,189.33,59,"16WW_38",4
"16WW",96,1,9,70,5.51,1.06,3,59,194,62,"16WW_70",4
"16WW",97,1,9,177,6.73,0.95,1,58,195,59,"16WW_177",4
"16WW",98,1,9,28,6.96,0.95,2,61,204.33,63,"16WW_28",4
"16WW",99,1,9,81,4.5,1,1,58,205,59,"16WW_81",4
"16WW",100,1,10,148,5.45,1,2,61,181,63,"16WW_148",4
"16WW",101,1,10,52,6.58,1.11,3,59,202.67,62,"16WW_52",4
"16WW",102,1,10,131,6.93,0.95,2,59,183.33,61,"16WW_131",4
"16WW",103,1,10,68,7.82,1,1,57,201.33,58,"16WW_68",4
"16WW",104,1,10,54,6.99,1,0,60,210.67,60,"16WW_54",4
"16WW",105,1,10,76,5.33,1,2,59,197.33,61,"16WW_76",4
"16WW",106,1,10,5,5.42,0.94,0,59,193.67,59,"16WW_5",4
"16WW",107,1,10,72,7.32,0.95,0,59,198.33,59,"16WW_72",4
"16WW",108,1,10,36,8.27,0.95,2,56,201.67,58,"16WW_36",4
"16WW",109,1,10,173,7.64,1,1,58,197,59,"16WW_173",4
"16WW",110,1,10,112,6.19,1,1,58,189.33,59,"16WW_112",4
"16WW",113,1,11,20,7.2,1,3,58,183.33,61,"16WW_20",4
"16WW",114,1,11,77,4.03,0.57,1,58,178,59,"16WW_77",4
"16WW",115,1,11,19,5.19,1.17,4,59,190,63,"16WW_19",4
"16WW",116,1,11,161,6.79,0.91,4,58,206.33,62,"16WW_161",4
"16WW",117,1,11,139,6.4,0.91,3,58,210.67,61,"16WW_139",4
"16WW",119,1,11,13,7.05,1,1,58,196,59,"16WW_13",4
"16WW",120,1,11,26,4.86,0.94,4,58,204.67,62,"16WW_26",4
"16WW",121,1,11,8,6.1,1.12,1,58,187.67,59,"16WW_8",4
